codigo_escola;NO_ENTIDADE;cidade;snippets
15181081;COLEGIO INTEGRADO IN;Belém;"Ranking ENEM Escolas por Cidade | Melhores Colégios ... — Belém 2025 ; 1, Sistema de Ensino Equipe Integrado Eireli Epp, Belém ; 2, COLEGIO INTEGRADO IN, Belém ; 3, Colegio Physics Integral, Belém ; 4 ... | O Doutor Robson Gurjão chega com aquele recado especial ... — ... Belém, formado pelos melhores professores, Mestres e Doutores ... sistema de ensino com maior aprovação. Então, você não pode perder ... | Busca de escolas, municípios e estados — COLEGIO INTEGRADO IN. GOVERNADOR JOSE MALCHER, 1332 - ALTOS. NAZARÉ. 66060230 ... 66070-740 Belém - PA. Rede privada / Urbana · SISTEMA DE ENSINO AUTHENTICO."
31006157;COLEGIO LOGOSOFICO GONZALEZ PECOTCHE;Belo Horizonte;BHTRANS - Belo Horizonte — SISTEMA DE ENSINO RENASCER · SISTEMA PIAGET DE ENSINO · UMEI BRAUNAS · UMEI DELFIM ... EMPRESA DE TRANSPORTES E TRÂNSITO DE BELO HORIZONTE S/A - BHTRANS Av ... | Alunos Premiados de Escolas Privadas - 16ª OBMEP — SISTEMA DE ENSINO FOCO, P, MONTES CLAROS, MG, Sim. FERNANDO DE MORAES FAQUIM ... BELO HORIZONTE, MG, Sim. 115, BARBARA DO COUTO POCAI, COLEGIO MONTE SIONENSE, P ... | Os estudantes do 2º ano do Colégio Logosófico ... — ... Belo Horizonte, Rio de Janeiro, Brasília, São Paulo e Buenos Aires ... Colégio Logosófico González Pecotche CHAPECÓ Método Logosófico ...
23067071;COLEGIO CHRISTUS BARAO DE STUDART;Fortaleza;"Colégio Christus on Instagram: ""A SEC Ex-Alunos está ... — ... Colégio Christus Barão de Studart (entrada pela João Carvalho) ... Estou indo à Fortaleza só pra isso… soniaoliveir19. Ahhh que lindooo ... | Alunos Premiados de Escolas Privadas - 16ª OBMEP — FORTALEZA, CE, Bronze, ---. ARTUR TIN LUN DAI LIMA, ODILON BRAVEZA COL, P ... COLEGIO CHRISTUS BARAO DE STUDART, P, FORTALEZA, CE, ---, Sim. HEITOR GONDIM BRAGA ... | Busca de escolas, municípios e estados — 60442642 Fortaleza - Ceará. Rede privada / Urbana · ALTERNATIVO SISTEMA DE ENSINO. RUA DOUTOR RIBAMAR LOBO, 363 PAPICU. 60176-145 Fortaleza - CE. Rede privada ..."
31004871;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;Belo Horizonte;Tem festa que a gente participa. Tem ... — ... Colégio Arnaldo – Unidade Funcionários Rua Timbiras, 560 – Funcionários, Belo Horizonte ... sistema DE ENSINO APRENDIZ ... | Colegio Arnaldo - Unidade Funcionarios | Bolsas de ... — Garanta sua bolsa de estudos em Colegio Arnaldo - Unidade Funcionarios, Belo Horizonte - MG ... Sistema de ensino. Poliedro. O sistema de ensino compreende ... | Alunos Premiados de Escolas Privadas - 16ª OBMEP — SISTEMA DE ENSINO FOCO, P, MONTES CLAROS, MG, Sim. FERNANDO DE MORAES FAQUIM ... COLEGIO ARNALDO - UNIDADE FUNCIONARIOS, P, BELO HORIZONTE, MG, Sim. LUAN RIBEIRO ...
25306936;ESCOLA INTERNACIONAL CIDADE VIVA;João Pessoa;"CIDADE VIVA ACADEMY on Instagram: ""Atenção alunos de ... — de João Pessoa! A Escola Internacional Cidade Viva, está oferecendo ... Cada exemplar entregue representa muito mais do que um material didático. | LIVE OIKOS – Cidade Viva Education — ... material didático ... Escola Internacional Cidade Viva e, desde 2018, com a Faculdade Internacional Cidade Viva. Rua Lourdes Ferrer, 191 Aeroclube - João Pessoa ... | 15 anos de história e transformação! A Escola Internacional ... — A Escola Internacional Cidade Viva completa 15 anos, e para celebrar ... Moramos em João Pessoa e nossa filha estuda na @escolacidadeviva !!"
33064369;ESCOLA ORT;Rio de Janeiro;"Na Escola ORT, cada conquista é resultado de dedicação, ... — ... Escola ORT na 25ª posição entre todas as escolas da cidade do Rio de Janeiro, além de garantir a melhor colocação entre as escolas judaicas. | Nossos alunos da rede municipal do Rio estão vivendo dias ... — ESCOLA ORT Explorando os mistérios do Universo com o 6° ano ... Rio de Janeiro, Rio de Janeiro. | Escola ORT on Instagram: ""A Escola ORT teve a honra de ... — ... Rio de Janeiro, além de garantir a melhor colocação entre as escolas judaicas. ... sistema de ensino Poliedro 4º ANO Top 20% Entre os ..."
24057126;COLEGIO SALESIANO SAO JOSE;Natal;"Desigualdade-racial-nas-escolas-privadas-de-alto ... - gemaa — de LA CAMPOS · Citado por 4 — SISTEMA DE ENSINO EQUIPE. COLEGIO DOM AMANDO. COLEGIO GENTIL BITTENCOURT ... COLEGIO SALESIANO SAO JOSE. COLEGIO SALESIANO DOM BOSCO. OVER - LAGOA NOVA. | Classificados NIVEL A — COLEGIO SALESIANO SAO JOSE. 11. NATAL. RN. Ana Laura Trindade. 9° ano ... SISTEMA DE ENSINO INTEGRAL PLUS. 10. PONTA GROSSA. PR. Augusto Soares Gonçalves. | Escolas em Ribeira - Natal - RN — Sistema De Ensino Recriar; Educandário Disneylândia; Centro Educacional Santo ... Colegio Salesiano Sao Jose. 5.0(1). Ribeira - Natal - RN. Saiba mais. Logo ..."
23498994;COLEGIO CHRISTUS UNIDADE PARQUELANDIA;Fortaleza;Alunos Premiados de Escolas Privadas - 16ª OBMEP — COLEGIO CHRISTUS UNIDADE PARQUELANDIA, P, FORTALEZA, CE, Sim. LUCIANO ARAUJO LOBO CALAZANS, ANTARES COLEGIO PRE VESTIBULAR, P, FORTALEZA, CE, Sim. PABLO CID ... | Joaquim Moreira De Sousa, Esc 1 Gr - Fortaleza - CE — Estudando em Joaquim Moreira De Sousa, Esc 1 Gr - Fortaleza - CE? Experimente nossa ampla variedade de anotações de aula, resumos e guias de estudo para ... | características escola indicadores prouni — ... Fortaleza. Privada. Urbana. 35. De 31 a. 60 alunos. 35. 100.00. 0. Menos de 20%. Sem ... SISTEMA DE ENSINO. PI. Teresina. Privada. Urbana. 25. De 1 a 30 alunos.
25093061;COLEGIO NOSSA SENHORA DE LOURDES;João Pessoa;No vídeo de hoje, Janduí Jorge, Head de Produto do Edify ... — Edify lourdes COLEGIO NOSSA SENHORA DE LOURDES Espaço MAKER ... O material didático contém uma mochila, um livro de sala de aula e ... | Colegio Nossa Senhora De Lourdes — Onde fica o Colegio Nossa Senhora De Lourdes? av presidente epitacio pessoa, 208 - centro, João Pessoa - PB. | Taxa de Distorção Idade/Série - João Pessoa — COLEGIO NOSSA SENHORA DE LOURDES. 2,7%. COLEGIO NOVO TEMPO. 11,9%. COLEGIO OLIMPO JOAO PESSOA. 3,8%. COLEGIO PIO XI. 1,6%. COLEGIO POLIGONO EDUCACIONAL LTDA.
33055866;COLEGIO MARILIA MATTOSO;Niterói;Home - Colégio Marília Mattoso | Formamos Vencedores ... — O sistema de ensino forte e a integração com a família são feitos com ... Sejam Bem-vindos! Rua José Bonifácio, 39 - São Domingos, Niterói (21) 2719 ... | Colégio Marília Mattoso (@mariliamattosocolegio) — Começaram os Jogos Escolares de Niterói (JEN) e, claro, o Colégio Marília Mattoso está presente! ... Material Didático — automação e informatização ... | Controlado por fundo do BTG, grupo Inspira entra no Rio ... — A Inspira Rede de Educadores está comprando o Colégio Marília Mattoso, de Niterói, na 15ª aquisição do grupo desde o início do ano passado e ...
43104975;CENTRO DE ENSINO MEDIO FARROUPILHA - UNIDADE DE ENSINO COLEGIO FARROUPILHA;Porto Alegre;Liberato é destaque no Enem Confira na matéria ... — ... CENTRO DE ENSINO MEDIO FARROUPILHA UNIDADE DE ENSINO COLEGIO FARROUPILHA ... SISTEMA DE ENSINO COM MAIS ESCOLAS PARCEIRAS NO TOP 10* NACIONAL. | Elisabete Rambo Braga — ... Porto Alegre. Anais do 1ª Seminário Nacional de Práticas Escolares e ... (Desenvolvimento de material didático ou instrucional - Apostila). BRAGA ... | Enem 2025: conheça as 15 escolas com as maiores notas ... — Centro de Ensino Médio Farroupilha - Unidade de Ensino Colégio Farroupilha - 692,94 - Porto Alegre (Rio Grande do Sul) - Particular - 101% ...
22146636;BRIGHT SCHOOL;Teresina;"Esses são os 5 pilares que sustentam a proposta pedagógica ... — Brightbee Bright SCHOOL . Brightbee Bright SCHOOL ... Teresina que é uma referência educacional esse é um dos pilares chaves que nos ... | Nossos alunos aprendem com um material didático ... — Nossos alunos aprendem com um material didático diferenciado, construído para dialogar com as metodologias ativas que aplicamos no dia a dia ... | Bright School on Instagram: ""O ENEM está cada vez mais ... — Quarto lugar: material didático impecável, aquele material que tem seções ... sistema de ensino Bernoulli. Estamos muito felizes porque ..."
31309711;ESCOLA SEB UNIMASTER;Belo Horizonte;Escola SEB Unimaster Na Educação Infantil as crianças de 1 ... — https://lp.escolaseb.com.br/unimaster-belo-horizonte-agende-uma-visita . ... Com material didático exclusivo e uma abordagem centrada ... | SEB Unimaster BH - Multa material didático sem começar aulas — Gostaria de demonstrar minha indignação com a Escola SEB Unimaster Buritis em Belo Horizonte. No Mês de dezembro de ******* a escola na ânsia ... | Escola SEB Unimaster (@sebunimaster) — Na escola SEB Unimaster, educar é unir desempenho acadêmico com um olhar humano. Com aprendizagem viva, resultados reais e participação ativa das famílias, ...
31005037;COLEGIO BATISTA MINEIRO;Belo Horizonte;Rede Batista de Educação — Utilizando o material didático do programa Bene, o Colégio Batista investe na formação socioemocional dos estudantes. Fundamentado em um trabalho com ... | Colégio Batista Mineiro | 📝🌿Os estudantes do 6º ano do ... — COLGIO SISTEMA Bernoulli Sistema de Ensino eduall bilingual ... Belo Horizonte, e a perceber como a cidade se transformou ao longo ... | Colégio Batista Mineiro | 🎖️⭐Vivemos um momento de ... — Até o prefeito de Belo Horizonte, Álvaro Damião, esteve presente nessa grande festa! ... BERNOULLI Sistema de Ensino Quem pretende prestar ENEM ...
31004359;COLEGIO ESPANHOL SANTA MARIA MINAS - UNIDADE CIDADE NOVA;Belo Horizonte;Taxa de Distorção Idade/Série - Belo Horizonte — COLEGIO ESPANHOL SANTA MARIA MINAS - UNIDADE CIDADE NOVA. 0,3%. COLEGIO ... SISTEMA DE ENSINO ERIDA DURAES. 10,8%. SISTEMA EDUCACIONAL ATHENA - UNIDADE ... | Nome do(a) aluno(a) Escola Modalidade Polo de aplicação — COLEGIO ESPANHOL SANTA MARIA MINAS - UNIDADE CIDADE NOVA. A. Belo Horizonte ... SISTEMA DE ENSINO FOCO. B. Montes Claros. Página 95. Page 96. Nome do(a) aluno ... | Escolas em Belo Horizonte/MG — 2016 instituições — Escolas em Belo Horizonte, MG. 2016 escola(s) encontrada(s). ABV ETEC MG ... SISTEMA DE ENSINO ALPHONSUS DE GUIMARAENS. JARDIM AMERICA. Privada · SISTEMA DE ...
31369772;COLEGIO OLIMPO BH;Belo Horizonte;Colégio Olimpo, em BH, oferece bolsas de estudo para ensino ... — O Colégio Olimpo, tradicional e uma das melhores escolas de Belo Horizonte, está com vagas abertas para bolsas de estudo em 2020, para turmas do 6º, 7º, 8º e 9º ... | Belo Horizonte 2231 escolas — COLEGIO OLIMPO BH. DOS BANDEIRANTES, 2222. MANGABEIRAS. 30210420 Belo ... Belo Horizonte - Minas Gerais. Rede privada / Urbana · SISTEMA DE ENSINO RENASCER. | Escolas em Belo Horizonte/MG — 2016 instituições — COLEGIO OLIMPO BH. Privada · COLEGIO OMEGA. Privada · COLEGIO ORLEANS E BRAGANCA ... COLEGIO SISTEMA DE ENSINO - UNIDADE II. Privada · COLEGIO TANCREDO NEVES.
31007196;COLEGIO SANTA DOROTEIA;Belo Horizonte;"Colégio Santa Dorotéia de Belo Horizonte on Instagram: ""Do ... — Do Maternal à 3ª Série do Ensino Médio, muitas famílias constroem sua história no Colégio Santa Dorotéia por meio de experiências, ... | Robótica - Extracurricular — Aula semanal, com material didático incluído. Agende uma aula experimental gratuita. WhatsApp: (31) 99345-0202. —. LOCAL: Prédio E, entrada pela Rua ... | Já pensou em ver de perto onde seu bem mais precioso vai ... — 97 likes, 5 comments - santadoroteiabh on August 8, 2025: ""Já pensou em ver de perto onde seu bem mais precioso vai estudar?"
23077557;COLEGIO 7 DE SETEMBRO;Fortaleza;Lista de reclamações: Colegio 7 de Setembro — Quer saber os principais motivos de reclamações recebidas pela empresa Colegio 7 de Setembro? Veja a lista completa no Reclame AQUI ... Ensino fraco E apostila ... | Colegio 7 de Setembro Logo Download png — Colegio 7 de Setembro Logo Logo vector,Colegio 7 de Setembro Logo ... fortaleza Logo ,Logo , icon , SVG colegio militar de fortaleza Logo · Sistema de Ensino ... | um resultado do ENEM que reflete foco, preparo e constância. 🧮 ... — ... Colégio 7 de Setembro, cada conquista é celebrada ... SISTEMA DE ENSINO POSITIVO SEJA BEM VINDA, SUA ... apostila, mostrando o que os alunos já desenvolveram.
24069191;CENTRO DE EDUCACAO INTEGRADA S A - ROMUALDO;Natal;PREMIAÇÃO QUIMENINAS 2025- SÉRIE 9° ANO — SISTEMA DE ENSINO AUTHENTICO. PA. Belém. OURO. Echilly Gonçalves Marques ... CENTRO DE EDUCACAO INTEGRADA S A - ROMUALDO. RN. Natal certificado MAYSA COSTA ... | Enem 2025: conheça as 15 escolas com as maiores notas ... — Colegio Porto - Natal - Lagoa Nova - Nota: 706.89. Centro de Educacao Integrada S A - Romualdo - Natal - Lagoa Nova - Nota: 698.33. Colegio ... | Medalhistas Quimeninas 2025 - Série 1º Ano — certificado ANA CAROLINA BELTRAME MENDES MORAIS CENTRO DE EDUCACAO INTEGRADA S A - ROMUALDO RN Natal ... certificado GRAZIELA ELEUTÉRIO VICENTE SISTEMA DE ENSINO ...
24084263;COLEGIO MARIE JOST;Natal;"Escolas em Pitimbu na cidade de Natal — Sistema De Ensino Recriar; Educandário Disneylândia; Centro Educacional ... Logo - colegio marie jost. Colegio Marie Jost. 4.8(5). Pitimbu - Natal - RN ... | Bolsas de estudo nas escolas de Pitimbu em Natal — Sistema De Ensino Recriar; Centro Educacional Horizonte Infantil; Centro De ... Logo - colegio marie jost. Colegio Marie Jost. 4.8(5). Pitimbu - Natal - RN ... | Alessandro Oliveira - Professor — ... Colégio Marie Jost. Atuou como Professor de cursos de Pós-graduação da Faculdade de Natal ... Produção de material didático. Formação acadêmica. Gráfico ..."
35136025;COLEGIO VISCONDE DE PORTO SEGURO CAMPUS VALINHOS;Valinhos;RESULTADO POR REGIÃO — SISTEMA DE ENSINO PHYSICS AMAPÁ LTDA. AMAPÁ. MACAPÁ. PRATA. 25. 1698188 ... COLEGIO VISCONDE DE PORTO SEGURO - CAMPUS VALINHOS. SÃO PAULO. VALINHOS. BRONZE. | André Roberto de Arruda Corrêa — Colégio Visconde de Porto Seguro - Campus Valinhos. Vínculo: , Enquadramento ... Responsável pelo planejamento de aulas, escolha do material didático e ... | Menções Honrosas por Escola e Estado | PDF | Brasil — ... SISTEMA DE ENSINO LTDA ALAGOAS MACEIÓ ... 1698433 ANA LUISA TABARINI PINHEIRO 1º ANO/EM COLEGIO VISCONDE DE PORTO SEGURO - CAMPUS VALINHOS SÃO PAULO VALINHOS
31005975;INSTITUTO CORACAO DE JESUS;Belo Horizonte;BHTRANS - Belo Horizonte — INSTITUTO CORACAO DE JESUS · INSTITUTO DE EDUCACAO DE MINAS GERAIS - IEMG ... SISTEMA DE ENSINO RENASCER · SISTEMA PIAGET DE ENSINO · UMEI BRAUNAS · UMEI ... | Taxa de Distorção Idade/Série - Belo Horizonte — INSTITUTO CORACAO DE JESUS. 1,2%. INSTITUTO CRISTAO ARCA DA ALIANCA. 24,1 ... SISTEMA DE ENSINO ERIDA DURAES. 10,8%. SISTEMA EDUCACIONAL ATHENA - UNIDADE ... | UF Município Código Escola no INEP CNPJ Entidade ... — ... INSTITUTO CORACAO DE JESUS. PRÉ-ESCOLA PARCIAL CONVENIADA CAMPO. 35 ... BELO HORIZONTE. 31252751. APAE ESCOLA OFICINA SOFIA ANTIPOFF. EDUCAÇÃO ESPECIAL ...
23246847;FARIAS BRITO COLEGIO DE APLICACAO;Fortaleza;"A Prefeitura de Fortaleza abriu, nesta quinta-feira (23/07) ... — ... material didático, laboratório de redação, passagem de ônibus, lanche e ... Farias Brito Colégio de Aplicação (Fortaleza) – 793,33 pontos | Ranking do Enem: Melhores escolas do Brasil na redação — Sistema de Ensino Equipe Integrado Eireli – EPP | Belém (PA): 906,7; Farias Brito Colégio de Aplicação | Fortaleza (CE): 906,0; Colégio Galileu ... | Multitude Sistema de Ensino on Instagram: ""Multitude e o ... — Photo by Multitude Sistema de Ensino on June 24, 2026. May be an ... Farias Brito Colégio de Aplicação Fortaleza/CE 793,30 3º Christus ..."
23246880;CHRISTUS COLEGIO PRE UNIVERSITARIO;Fortaleza;"Inscrições Abertas! Extensivo 2025 Chegou a hora de se ... — ... Material didático exclusivo e atualizado, alinhado com as exigências ... CHRISTUS COLÉGIO PRÉ-UNIVERSITÁRIO NO INEP: 23246880 ... | A Prefeitura de Fortaleza abriu, nesta quinta-feira (23/07) ... — ... material didático, laboratório de redação, passagem de ônibus, lanche ... Christus Colégio Pré-Universitário (Fortaleza) – 779,39 pontos | Multitude Sistema de Ensino on Instagram: ""Multitude e o ... — Photo by Multitude Sistema de Ensino on June 24, 2026. May be an ... Christus Colégio Pré-Universitário Fortaleza/CE 779,33 4º São José ..."
26156202;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;Recife;O Colégio Pontual se orgulha imensamente de ver os ... — ... Sistema de Ensino 73. 3215 0055 www.colegioieprol.com.br ... Recife, Colegio de Aplicacao do CE da UFPE, Colegio GGE, Colegio Saber ... | Alunos Premiados de Escolas Privadas — MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II, P, RECIFE, PE, Bronze. LUCAS ... SISTEMA DE ENSINO UNO VERTICE, P, DIVINOPOLIS, MG, Bronze. HEITOR SOARES DE ... | Enem 2025: conheça as 15 escolas com as maiores notas ... — Escola de Referência em Ensino Fundamental e Médio Aplicação do Recife - 713,33 - Recife (Pernambuco) - Público - 97% ... MD Educacional- Colégio ...
23272333;FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL;Fortaleza;Alunos Premiados de Escolas Privadas - 16ª OBMEP — Material Didático. Provas e Soluções · Banco de Questões · Apostilas do PIC ... FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL, P, FORTALEZA, CE, ---, Sim. PEDRO ... | Destaque Enem 2025 - Redação! #VemSerGrande # ... — Fortaleza lidera em número de escolas no top 100 com quatro instituições: EEM Doutor César Cals (51º), Colégio da Polícia Militar General ... | OURO PRATA — AMADEU GOMES DE BARROS LEAL BISNETO FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL FORTALEZA ... SISTEMA DE ENSINO EQUIPE ANANINDEUA EIRELLI. ANANINDEUA. PA. 27 ...
31329282;COLEGIO BATISTA MINEIRO - UNIDADE BURITIS II;Belo Horizonte;Taxa de Distorção Idade/Série - Belo Horizonte — COLEGIO BATISTA MINEIRO - UNIDADE BURITIS II. 1,2%. COLEGIO BERNOULLI CIDADE ... SISTEMA DE ENSINO ERIDA DURAES. 10,8%. SISTEMA EDUCACIONAL ATHENA ... | Minha Escola Legal — BELO HORIZONTE, RUA EMBARÉ, 258, GUARANI, (31) 34336115. CENTRO FORMAÇÃO ... ATUAL SISTEMA DE ENSINO, SABINÓPOLIS, RUA JOVAL DE PINHO, 101, CENTRO, (33) 34232352. | Girlaine Figueiró Oliveira — Parecer sobre renovação do reconhecimento do Ensino Médio ministrado pelo Colégio Batista Mineiro ? Unidade Buritis II, de Belo Horizonte.. 2020. OLIVEIRA ...
26137631;COLEGIO NUCLEO;Recife;Metodologia e Propósito — Somamos a isso uma equipe de professores envolvida com as novas tecnologias e um material didático eficiente e completo, em todas as etapas do ensino. ... Rui ... | Uma história de - evolução e conquistas — novas tecnologias e um material didático completo, permitindo que o aprendizado ... Em 2020, os alunos do. 6º ano transitaram pelo. Recife em um catamarã,. | O estudante pernambucano Ricardo Belém, do Colégio ... — O estudante pernambucano Ricardo Belém, do Colégio Núcleo, no Recife ... Photo by Bernoulli Sistema de Ensino on June 24, 2026. May be an ...
