codigo_escola;sistema_ensino_identificado;confianca;fonte_resumo
33008523;;nao_identificado;Claude-in-Chrome (03/08) — Colégio João Paulo II, Campos dos Goytacazes/RJ (endereço Visconde de Itaboraí 524 bate com o Censo). Site oficial tem página própria de 'Material Didático' e 'Loja Virtual', sugerindo material vendido/produzido pela própria escola, mas não encontrei o nome de um sistema de terceiros licenciado — pode ser próprio, mas não confirmei o suficiente pra marcar como tal.
33008612;próprio (Rede Adventista de Educação / CPB);confirmado;"Claude-in-Chrome (03/08) — Colégio Adventista de Campos, Campos dos Goytacazes/RJ. Site oficial (campos.educacaoadventista.org.br) diz literalmente: 'Contamos com um sistema de ensino próprio e personalizado'; posts do Instagram oficial confirmam material da CPB (Casa Publicadora Brasileira, editora própria da Igreja Adventista) — padrão nacional da rede, não é sistema de terceiros."
31277177;;nao_identificado;Claude-in-Chrome (03/08) — Instituto Pedagógico Crescer, Contagem/MG. Busca dominada por um reel/áudio viral de aniversário de 30 anos que VÁRIAS escolas diferentes pelo Brasil repostaram com sua própria marca (COC, SAS, Positivo, etc. aparecem todos colados no mesmo trecho, de contas diferentes) — ruído demais pra confirmar qual é o sistema real desta unidade em Contagem sem visitar o Instagram oficial dela diretamente.
31376310;SAS (Arco Educação);confirmado;Claude-in-Chrome (03/08) — Colégio Niéde Guidon, Contagem/MG (endereço R. Papa Paulo VI, 39, bate com o Censo). Site oficial (colegioguidon.com) cita 'Escolas SAS estão há 8 anos entre as melhores do país no ENEM' como parte da proposta pedagógica.
31279099;Sistema Amplia;confirmado;Claude-in-Chrome (03/08) — Colégio Paulo Freire / IEPF, Contagem/MG, Unidade Novo Progresso (endereço Antônio Aleixo, 761, bate com o Censo — nome 'Paulo Freire' é comum, confirmei geograficamente antes de aceitar). Site oficial (iepf.com.br) e manual de material didático em PDF citam 'Sistema de Ensino Amplia'.
31277185;Bernoulli;confirmado;Claude-in-Chrome (03/08) — Núcleo Educacional Braz Netto, Contagem/MG. Fonte é de terceiro (QuintoAndar, blog imobiliário), não o site/Instagram oficial da escola: 'trabalha com o Bernoulli Sistema de Ensino'. Não achei confirmação em fonte própria da escola — considerar confiança mais baixa que os demais 'confirmado' deste lote.
31279102;;nao_identificado;Claude-in-Chrome (03/08) — Colégio São Geraldo, Contagem/MG. Nome colide com uma rede grande e não relacionada ('Sagrado Rede de Educação — Colégio São Geraldo', Paraíso do Tocantins/TO, parceira Bernoulli) que dominou os resultados. Não achei confirmação específica da unidade de Contagem.
31236926;Bernoulli;confirmado;Claude-in-Chrome (03/08) — Colégio Espírita Professor Rubens Costa Romanelli, Contagem/MG. Confirmado no site oficial (colegio.feig.org.br) e em post do Instagram oficial: 'Sistema de Ensino Bernoulli, um dos mais reconhecidos do Brasil'.
35159177;próprio (proposta pedagógica autoral);provavel_proprio;"Claude-in-Chrome (03/08) — Colégio Sidarta, Cotia/SP. Nenhuma menção a sistema de terceiros em nenhuma fonte (site, Instagram, rankings ENEM/OBMEP); escola é conhecida por proposta pedagógica própria/alternativa, não por adotar apostila de rede — tratando como provável próprio, não confirmado."
35568173;Anglo (Cogna/SOMOS);confirmado;Claude-in-Chrome (03/08) — Colégio Via Sapiens, Cotia/SP. Confirmado repetidamente no Instagram oficial (@via_sapiens) e Facebook oficial: 'Colégio Via Sapiens utiliza o Sistema Anglo de Ensino', 'Sistema de Ensino Anglo Desde 1979'.
52079872;próprio (Fundação Bradesco);confirmado;Claude-in-Chrome (03/08) — Colégio Fundação Bradesco, Aparecida de Goiânia/GO (endereço Av. J2/R. L16, Papillon Park, bate com o Censo e com relatórios oficiais da Fundação Bradesco em PDF). Rede filantrópica nacional (~40 unidades) com material didático próprio desenvolvido pela própria Fundação — NÃO é sistema de terceiros. ⚠️ Atenção: é ensino GRATUITO (CSR do banco Bradesco para filhos de funcionários e comunidade), não escola paga — vale reavaliar se essa e outras unidades da rede fazem sentido numa lista de prospecção comercial de mensalidade, mesmo com score/QT_MAT_MED altos. (Gui confirmou manter como está, 03/08.)
52096807;próprio (Colégio Veritas);provavel_proprio;Claude-in-Chrome (03/08) — Colégio Veritas II, Aparecida de Goiânia/GO. Instagram oficial (@colegioveritasgo) menciona 'Material Didático (V)' — sugere material com marca própria (V de Veritas), não de terceiros. Havia menções soltas a 'Objetivo' e 'Positivo' no mesmo SERP, mas pareciam cross-tagged de outras contas/posts — não usei como confirmação.
52031799;;nao_identificado;Claude-in-Chrome (03/08) — Colégio de Aplicação Alfredo Nasser, Aparecida de Goiânia/GO (escola PRIVADA, ligada à Faculdade/UNIFAN Alfredo Nasser como escola de prática de ensino). Risco de confusão de nome com 'Colégio Estadual em Tempo Integral Alfredo Nasser' (escola PÚBLICA, entidade diferente) que domina os resultados de busca — não achei sinal específico da unidade privada/de aplicação.
35131490;;nao_identificado;Claude-in-Chrome (03/08) — Colégio Madre Iva, Cotia/SP. Diário Oficial de SP menciona a escola como 'mantida pela Tutor School Sistema de Ensino Ltda' — mas isso pode ser só o nome da mantenedora/CNPJ, não necessariamente um sistema didático de marca licenciado. Ambíguo demais pra confirmar.
51039010;Ari de Sá (SAS) + FTD/Trilhas (complementar);confirmado;Claude-in-Chrome (03/08) — CEMA (Centro Educacional Maria Auxiliadora), Cuiabá/MT (endereço Dom Aquino 449 bate com o Censo). Confirmado no site oficial (cemamt.com.br) e múltiplas fontes (Facebook oficial, caamt.com.br): 'material didático produzido pelo Sistema Ari de Sá' como base, com material FTD/Trilhas complementar em segmentos específicos.
51064529;;nao_identificado;Claude-in-Chrome (03/08) — Colégio Vila Real, Cuiabá/MT (endereço Rod. Arq. Helder Candia bate com o Censo, confirmado via QEdu). Nome muito genérico — busca dominada por um reel viral ('Virtude da Ordem') que dezenas de escolas homônimas em outras cidades (Niterói, Itaquera etc.) repostaram, além de outros 'Vila Real' não relacionados. Não achei sinal específico desta unidade de Cuiabá.
33101469;;nao_identificado;Claude-in-Chrome (03/08) — Centro Educacional Renascer (antigo 'Maria Fumaça'), Duque de Caxias/RJ. Nenhuma fonte própria confirmou nome de sistema de terceiros.
33194270;;nao_identificado;Claude-in-Chrome (03/08) — ISEM Instituto Siloé de Ensino Moderno, Duque de Caxias/RJ. Facebook oficial menciona 'Sistema de ensino AZ', mas dentro de um vídeo-montagem que também cita outra escola (Colégio Samaritano) — não deu pra confirmar se a menção é da própria ISEM ou de um clipe de outra escola no mesmo vídeo.
33049416;Positivo (Arco Educação);confirmado;Claude-in-Chrome (03/08) — Escola Venâncio Pereira Velloso, Duque de Caxias/RJ. Confirmado em 2 posts do Instagram oficial (@escolavenancio): 'SISTEMA DE ENSINO POSITIVO', 'Sistema de Ensino Positivo'.
33185433;próprio (Força Máxima Plataforma de Ensino);confirmado;Claude-in-Chrome (03/08) — Colégio Força Máxima de Duque de Caxias. Confirmado no site oficial (colegioforcamaxima.com.br, forcamaximaeducacao.com.br): a própria rede Força Máxima produz seu material didático exclusivo — é rede+editora própria, não usa sistema de terceiros.
33110549;Positivo (Arco Educação);confirmado;Claude-in-Chrome (03/08) — Colégio Cristão Oliveira Araújo (Ametista Empreendimentos Educacionais), Duque de Caxias/RJ. Confirmado em 2 posts do Facebook oficial: 'Sistema de Ensino Positivo * Programa Bilíngue...'. Havia menção a 'SFB Sistema de Ensino' num Instagram de terceiro, não usei por ser sinal mais fraco.
33048185;próprio (Rede Matriz Educação);confirmado;Claude-in-Chrome (03/08) — Colégio e Curso Matriz Educação, Duque de Caxias/RJ. Matriz Educação é ela mesma uma rede de colégios com material didático e aplicativo próprios (confirmado via Econodata, descrição do CNPJ) — não licencia sistema de terceiros, é como Objetivo/COC: a rede É o sistema.
29410991;;nao_identificado;Claude-in-Chrome (03/08) — Centro de Educação M Figueiredo, Feira de Santana/BA. Escola com presença digital mínima, nenhum resultado relevante além de listas oficiais de credenciamento — sem sinal de sistema de ensino.
35142360;Anglo (Cogna/SOMOS);confirmado;Claude-in-Chrome (03/08) — Colégio Almeida Gasparin, Guarulhos/SP (endereço Cyro Schmutzer Franco bate com o Censo). Confirmado na própria bio do Instagram oficial (@colegioalmeidagasparin): 'Sistema de Ensino Anglo'.
26168243;;nao_identificado;Claude-in-Chrome (03/08) — Centro Profissional Especial I, Jaboatão dos Guararapes/PE. ⚠️ Atenção: o site oficial (centroprofissionalespecial.com.br) mostra cursos técnicos/profissionalizantes avulsos (ex.: Informática Básica), não parece ser uma escola regular de Ensino Fundamental/Médio no sentido do nosso universo — mesmo padrão de mismatch do filtro SESI/SENAI/SENAC já aplicado no pipeline (poliedro_29). Vale revisar se essa entidade deveria estar no universo de escolas privadas comerciais.
26110130;próprio (Fundação Bradesco);confirmado;"Claude-in-Chrome (03/08) — Escola de Educação Básica e Profissional Profª Valentina de Oliveira Figueiredo, Jaboatão dos Guararapes/PE. Confirmado em relatório oficial da Fundação Bradesco (fundacao.bradesco, e-mail 'jaboatao@fundacao.bradesco') — mesma rede filantrópica de ensino gratuito do achado de Aparecida de Goiânia (52079872); Gui já confirmou manter esse tipo de achado como está."
26191423;;nao_identificado;Claude-in-Chrome (03/08) — Colégio Elo, unidade Candeias/Jaboatão dos Guararapes (endereço Antonio Ferreira Campos, 2718, Candeias, bate com o Censo). Instagram oficial da unidade Candeias menciona 'nosso novo sistema de ensino' sem nomear a marca. Existe um Colégio Elo homônimo em São José dos Campos/SP que usa SAS — não confundir, são unidades/razões sociais diferentes.
26110105;SOMOS/Rede Pitágoras + National Geographic Learning;confirmado;Claude-in-Chrome (03/08) — Yapoatam Colégio e Curso, Jaboatão dos Guararapes/PE. Confirmado no Instagram oficial (@yapoatamcolegioecurso): 'com a excelência do Sistema de Ensino Somos, Rede Pitágoras e National Geographic Learning'.
35481397;Anglo (Cogna/SOMOS);confirmado;"Claude-in-Chrome (03/08) — Colégio Antoni Gaudi, Jundiaí/SP. Fonte é LinkedIn de um ex-coordenador pedagógico da própria escola (2016-2017): 'material didático (Sistema Anglo), paradidático e de formulação própria' — relato de primeira mão, mas um pouco datado (~9 anos); pode ter mudado."
41031814;Sistema Etapa;confirmado;Claude-in-Chrome (03/08) — Colégio Mãe de Deus, Londrina/PR. Confirmado no site oficial (maededeus.edu.br), página atualizada há 8 dias: 'MATERIAL DIDÁTICO O material do Sistema Etapa...'.
16011244;COC (Arco Educação);confirmado;Claude-in-Chrome (03/08) — Colégio Estação, Macapá/AP. Muito bem confirmado: site/Facebook/Instagram oficiais e PDF da UNIFAP, todos dizem 'Sistema de Ensino COC' — 'O Colégio Estação é a escola referência do Sistema de Ensino COC no Amapá'.
16011570;UNOi;confirmado;"Claude-in-Chrome (03/08) — Colégio Expansivo, Macapá/AP. Site oficial (colegioexpansivo.com) cita 'Sistema de ensino - UNOi'. Havia também um post do Instagram oficial (@expansivo_mcp) citando 'Sistema de Ensino Anglo' — pode ser oferta mista ou mudança recente; priorizei o site por ser a fonte mais formal."
16002016;Sistema Poliedro de Ensino;confirmado;"Claude-in-Chrome (03/08) — Colégio Santa Bartolomea Capitanio, Macapá/AP. Site oficial (bartolomea.com.br), página própria '2026 - Sistema de Ensino': 'As escolas associadas do Poliedro Sistema de Ensino alcançaram a maior...'; Instagram oficial confirma 'sistema de ensino poliedro'. CONFIRMADO 100% pelo Gui (03/08) — conhece a escola. Mais um caso de escola parceira Poliedro com nome diferente no Censo (mesmo padrão de Bauru e Campos dos Goytacazes)."
16012100;Sistema Amplia;confirmado;Claude-in-Chrome (03/08) — Colégio Conceito Bilíngue, Macapá/AP. Instagram oficial (@colegioconceitobilingue) confirma repetidamente e de forma recente (2026): 'Sistema de Ensino AMPLIA, da Educação Infantil ao Ensino Médio'. Menções mais antigas (2019/2020) a 'Opet' parecem ser de um sistema anterior, já trocado.
16009380;Anglo (Cogna/SOMOS);confirmado;"Claude-in-Chrome (03/08) — Centro de Ensino Podium, Macapá/AP. Site oficial (podium.net.br) e Instagram de concursos (@podiumpreconcurso) afirmavam 'SISTEMA DE ENSINO ANGLO' + 'Prêmio Leão de Ouro do Sistema Anglo'; havia um post ambíguo (@podium_centrodeensino) sugerindo Poliedro, que me fez hesitar — mas o Gui CONFIRMOU 100% que é Sistema Anglo (03/08), corrigindo minha hesitação. Aprendizado: não dar peso demais a um post solto de Instagram quando a fonte institucional (site oficial + prêmio documentado) é mais forte e consistente."
16012410;Polígono;confirmado;"Claude-in-Chrome (03/08) — Colégio Elitte, Macapá/AP. Facebook oficial (há 9 meses): 'O Colégio Elitte está com coleção nova: Polígono!'; outro post do Instagram oficial menciona 'parceria com o Poliedro Sistema de Ensino'. ⚠️ Relevante: liga direto com nossa classificação de produto_alvo — é caso recente (9 meses) de adoção do Polígono, vale conferir se já está OK como Polígono ou se deveria estar mais próximo de Poliedro no cadastro comercial."
27216845;;nao_identificado;Claude-in-Chrome (03/08) — Colégio Fantástico, Maceió/AL. Nome extremamente genérico — busca misturou pelo menos 4-5 unidades homônimas não relacionadas (Campinas/SP, João Pessoa/PB, outra em Maceió mesmo) com sistemas diferentes (Bernoulli, Anglo, Etapa, Positivo, Poliedro todos aparecendo). Risco de colisão alto demais pra confirmar sem visitar a conta certa.
27051889;;nao_identificado;Claude-in-Chrome (03/08) — Colégio Santa Amélia, unidade Gruta (de Lourdes), Maceió/AL. Nenhuma fonte confirmou sistema de terceiros — resultados dominados por rankings de nota (ENEM/redação), não por material didático.
13105493;Geekie One;confirmado;Claude-in-Chrome (03/08) — Colégio Connexus, Manaus/AM (endereço Franco de Sá bate com o Censo). Confirmado por múltiplas fontes de imprensa/blog (Nube, DSOP, A Crítica, Geekie Educação): adotou o 'Geekie One' desde 2019, plataforma adaptativa digital. DSOP aparece como parceria específica de educação financeira, não é o sistema principal.
41165055;próprio (material digital Grupo Premere);provavel_proprio;Claude-in-Chrome (03/08) — Colégio Premere, Maringá/PR. Site e Instagram oficiais falam em 'material didático atualizado' e 'todo o material didático é digital', sem citar marca de terceiros. Um post mencionava 'Colégio Focus Poliedro Sistema de Ensino', mas é de OUTRA escola (Colégio Focus) no mesmo vídeo-montagem, não da Premere.
35290762;;nao_identificado;Claude-in-Chrome (03/08) — Associação de Desenvolvimento Educacional CSM, Mogi das Cruzes/SP. Só apareceu em publicações legais/editais, sem menção a sistema de ensino ou material didático de marca.
35299182;Anglo (Cogna/SOMOS);confirmado;Claude-in-Chrome (03/08) — Colégio Millenium Construtivo, Mogi das Cruzes/SP (endereço Antônio de Almeida 170 bate com o Censo). Confirmado em 2 posts do Instagram oficial (@colegioconstrutivo): 'SISTEMA DE ENSINO anglo'.
33060266;Sistema PH;confirmado;Claude-in-Chrome (03/08) — Instituto de Educação Paulo de Tarso, Nova Iguaçu/RJ. Bio do Instagram oficial (@iepaulodetarso_) tem o endereço EXATO do Censo (Rua Dona Clara de Araújo, 1331) e diz 'Integrante do Sistema de Ensino pH'.
33199876;;nao_identificado;Claude-in-Chrome (03/08) — Novo Ensino Colégio e Curso, Nova Iguaçu/RJ. Nome genérico demais ('novo ensino' colide com o próprio 'Novo Ensino Médio', reforma curricular nacional, e outras escolas homônimas em outras cidades) — não achei sinal específico desta unidade.
33111260;Sistema Poliedro de Ensino (ver nota);confirmado;"Claude-in-Chrome (03/08) — Centro Educacional Pinheiros, Nova Iguaçu/RJ (endereço Caetano Luís Muze 110 bate com o Censo). Instagram oficial (@pinheirosonline, post de 4 meses atrás) diz 'Sistema de Ensino Poliedro'. ⚠️ Havia sinais mais antigos conflitantes: case da SAE Digital (2018) e um blog QuintoAndar (2024) dizendo 'Sistema de Ensino UNOi' — parecem ser sistemas anteriores; priorizei o mais recente e mais direto (Instagram da própria escola). Mais um caso de parceria Poliedro com nome diferente no Censo (6º já encontrado nesta pesquisa)."
35800200;;nao_identificado;Claude-in-Chrome (03/08) — Colégio Cunha de Carvalho, Osasco/SP. 'Cunha de Carvalho' é sobrenome comum — busca poluída com pessoas físicas, nenhum resultado sobre a escola em si.
35809111;;nao_identificado;Claude-in-Chrome (03/08) — Ateneu Colégio, Osasco/SP (código 35809111). Existe um 'Ateneu Colégio' homônimo em São José do Rio Preto/SP (código diferente, 35139452) que domina os resultados — não confundir. Não achei sinal específico da unidade de Osasco.
33102341;Sistema Poliedro de Ensino;confirmado;Claude-in-Chrome (03/08) — Instituto Metodista de Petrópolis/RJ. Confirmado em 2 posts recentes (1 mês) do Instagram oficial (@metodistapetropolis): 'Sistema de Ensino Poliedro, para um momento de troca de conhecimento'. Sinais mais antigos (G1, 2021) citavam material 'SAE' — parece ter trocado de sistema desde então.
35123146;COC (Arco Educação);confirmado;Claude-in-Chrome (03/08) — Colégio Luxon, Piracicaba/SP. Diretório de empresas (Infobel) associa a escola ao site cocpiracicaba.com.br, 'COC – Sistema de Ensino'.
35304888;Pitágoras (Cogna/SOMOS);confirmado;Claude-in-Chrome (03/08) — Colégio Tales de Mileto, Piracicaba/SP. Site oficial (talesdemiletopiracicaba.com.br), página própria '/sistema-etico': 'em 2025, trabalhará com o Sistema Apostilado Pitágoras da Somos'.
35449143;Sistema Ser;confirmado;Claude-in-Chrome (03/08) — Centro Educacional Vila Verde, Praia Grande/SP (endereço Presidente Kennedy 4000 bate com o Censo). Site oficial (vilaverde.g12.br): 'apostilas do Sistema Ser'.
35136876;Anglo (Cogna/SOMOS);confirmado;Claude-in-Chrome (03/08) — Colégio Universo, Praia Grande/SP (endereço Guilherme de Almeida bate com o Censo). Confirmado no Instagram oficial (@colegiouniversopg): 'SISTEMA DE ENSINO anglo'.
35805257;;nao_identificado;Claude-in-Chrome (03/08) — Novomundo Colégio, Praia Grande/SP. Nenhuma fonte confirmou sistema de terceiros.
35151063;Positivo (Arco Educação);confirmado;Claude-in-Chrome (03/08) — Colégio França, Praia Grande/SP (endereço Antônio Reinaldo Gonçalves 478, Vila Caiçara, bate com o Censo). Confirmado via site oficial (colegiofrancaekids.com.br): 'Sistema Positivo de Ensino'.
35583303;SAE Digital (Cogna/SOMOS);confirmado;Claude-in-Chrome (03/08) — Colégio AEON Litoral, Praia Grande/SP — é o nome Censo do 'Colégio AEON Praia Grande'. Site oficial (praiagrande.colegioaeon.com.br), página própria 'Material Didático': 'O Colégio AEON, utiliza o material didático do SAE'.
35167666;próprio (currículo americano/bilíngue);provavel_proprio;Claude-in-Chrome (03/08) — Colégio Trivium, Praia Grande/SP (endereço Presidente Kennedy 2253 bate com o Censo). Site oficial fala em 'material didático americano e matérias regulares do currículo americano' — não é um sistema de ensino brasileiro licenciado, é currículo internacional próprio da escola.
35119748;Positivo (Arco Educação);confirmado;Claude-in-Chrome (03/08) — Fortec Praia Grande (Escola Técnica Unidade II). Muito bem confirmado no site oficial (fortecpraiagrande.com.br), várias páginas incl. manual do aluno em PDF: 'Utilizamos o material didático do Sistema de Ensino Positivo'.
35006289;Marista;confirmado;Claude-in-Chrome (03/08) — Colégio Jean Piaget, unidade Guilhermina/Praia Grande (endereço Av. Guilhermina 413 bate com o Censo). Bio do Instagram oficial (@jeanpiaget_guilhermina): 'Sistema de Ensino Marista'. Existe outra unidade Jean Piaget (São Vicente/Praia Grande, endereço diferente) que não confundi.
35143736;Anglo (Cogna/SOMOS);confirmado;Claude-in-Chrome (03/08) — Colégio O Bosque, Santo André/SP. Confirmado em posts recentes do Instagram oficial (@colegiobosque): 'SISTEMA DE ENSINO Anglo'.
35140909;Sistema Poliedro de Ensino;confirmado;Claude-in-Chrome (03/08) — Instituto de Ensino Pró Saber, Santo André/SP. Site oficial (prosaber.com.br): 'Sistema de ensino Poliedro e carga estendida de...'.
35124631;Sistema Poliedro de Ensino;confirmado;Claude-in-Chrome (03/08) — Trevo Master (Grupo Educacional), Santo André/SP (endereço Campo Grande 37, Vila Homero Thon, bate com o Censo). Bio e posts do Instagram oficial (@trevomaster): 'Material Didático Poliedro – Excelência e tradição em educação'. Sinais mais antigos citavam Pueri Domus (2021) e Positivo (concurso 2025) — parecem históricos.
35005953;;nao_identificado;Claude-in-Chrome (03/08) — Colégio AEON Educacional, Santos/SP (unidade Conselheiro Nébias, Boqueirão). Site oficial da unidade Santos (santos.colegioaeon.com.br) não tem a página de material didático publicada (erro 404) e a busca não confirmou marca específica. A unidade AEON de Praia Grande usa SAE — mas não posso presumir que a de Santos seja igual sem confirmar.
35109721;;nao_identificado;Claude-in-Chrome (03/08) — São José Colégio, Santos/SP (unidade Gonzaga). Nome extremamente comum ('São José' existe em dezenas de cidades) — sem sinal específico desta unidade.
35109733;;nao_identificado;Claude-in-Chrome (03/08) — Stella Maris Colégio, Santos/SP (unidade Boqueirão). Sem sinal específico — existe também um 'Stella Maris' em Peruíbe, não confundir.
35122968;;nao_identificado;Claude-in-Chrome (03/08) — Sorocaba Colégio Ensino Infantil e Fundamental, Vila Formosa. Sem sinal específico.
35155779;;nao_identificado;Claude-in-Chrome (03/08) — Colégio Integrado Véritas, Sorocaba/SP (unidade Jardim São Paulo). Sem sinal de sistema de terceiros — só documentos regulatórios antigos.
35119611;próprio (Colégio Harmonia);provavel_proprio;Claude-in-Chrome (03/08) — Colégio Harmonia, São Bernardo do Campo/SP (endereço Caminho do Mar 2709 bate com o Censo). Site oficial (ceharmonia.com.br) fala em 'currículo diferenciado do Colégio Harmonia' e é pioneiro em material próprio de língua japonesa — sem sistema de terceiros licenciado.
35109010;próprio (Rede Bom Jesus);confirmado;Claude-in-Chrome (03/08) — Colégio Bom Jesus São José, São Bernardo do Campo/SP (endereço Dr. Fláquer 334 bate com o Censo). Site oficial (bomjesus.br / www2.bomjesus.br) repete em várias páginas: 'Material Didático Próprio'.
