codigo_escola;NO_ENTIDADE;cidade;snippets
35111466;SANTA MARCELINA COLEGIO;Botucatu;Formar quem ensina é investir em quem aprende. No Santa ... — ... Santa Marcelina COLÉGIO BOTUCATU do Santa para a Vida ... material didático. Ela escuta, apoia, soma e cresce junto com a escola. É isso ... | É 980 na redação do ENEM! 📝 Parabéns, Ana Beatriz. O ... — Santa Marcelina COLÉGIO BOTUCATU REDAÇÃO ENEM ENEM REDAÇÃO REDAÇÃO ENEM ENEM REDAÇÃO Parabens, Laylah! Laylah Marjuli Nascimento Sekiguchi ... | Colégio Marista Santa Marta | Dizem que o Ensino Médio do ... — ✓ Desconto no material didático. ✓ Ensino de qualidade ... Santa Marcelina COLÉGIO BOTUCATU Congelamento. salesianosantamaria's ...
35101734;SAO MIGUEL ARCANJO COLEGIO FRANCISCANO;São Paulo;Alunos Premiados de Escolas Privadas - 16ª OBMEP — SAO MIGUEL ARCANJO COLEGIO FRANCISCANO, P, SÃO PAULO, SP, ---, Sim. OTAVIO BECKER ... JUNTA DE EDUCAÇÃO DA CONVENÇÃO BATISTA DO ESTADO DE SÃO PAULO, P, BAURU ... | Lista de Escolas por Estado e Cidade | PDF | Rio de Janeiro — SAO MIGUEL ARCANJO COLEGIO FRANCISCANO 35 São Paulo SP AUGUSTO LARANJA ... SISTEMA DE ENSINO FUNDAMENATAL MEDIO E SUPERIOR LTDA-CD 57 João Pessoa PB | características escola indicadores prouni — ... São Paulo. Privada. Urbana. 41. De 31 a. 60 alunos. 41. 100.00. 0. De 60% a 80%. Muito ... SISTEMA DE ENSINO. PI. Teresina. Privada. Urbana. 25. De 1 a 30 alunos.
31170607;INSTITUTO TERESA VALSE;Uberlândia;educação infantil - Uberlândia — A Educação Infantil no Instituto Teresa Valsé promove o desenvolvimento ... O material didático Girolhar, de bases vivenciais, é o eixo norteador dessa ... | Você já conhece o Instituto Teresa Valsé? Vem com a gente ... — ... material didático da Editora EDB, que faz parte da rede salesiana, nas ... INSTITUTO TERESA VALSÉ UBERLÂNDIA-MG O SACI ESTAVA AQUI? | INSTITUTO TERESA VALSÉ PANTELLINI — de HPHLGD FLGDGH · Citado por 2 — ... Instituto Teresa Valsé Pantellini em Uberlândia,. MG, com a finalidade de ... ] o material didático era mais o treino da gente, o que a gente tinha ...
33189838;ESCOLA SAP EDUCACAO POR PROJETOS;Rio de Janeiro;Alunos Premiados de Escolas Privadas — ESCOLA SAP EDUCACAO POR PROJETOS, P, RIO DE JANEIRO, RJ, Bronze. ARTHUR MIGUEL COSTA BATISTA, CENTRO EDUCACIONAL MINEIRO, P, BELO HORIZONTE, MG, Bronze. ARTHUR ... | Listagem do Site.xlsx — ESCOLA SAP EDUCACAO POR PROJETOS - ESCOLAS ... HOSPITAL EVANGELICO DO RIO DE JANEIRO - ASSOCIACAO DO HOSPITAL EVANGELICO DO RIO DE JANEIRO. | Escolas em Rio de Janeiro - RJ - BuscaEscola — ESCOLA SAP EDUCACAO POR PROJETOS. Cód INEP: 33189838 · ESCOLA SATHYA SAI DE VILA ... JGFLORENCIO SISTEMA DE ENSINO EIRELI - CENTRO EDUCACIONAL SILVA FLORENCIO.
35123675;PRUDENTE DE MORAES COLEGIO;Salto;Setor -Supervisão.xlsx — Salto. Humanidade Escola de Educação Profissional. Salto. Sistema e Caracol Colégio e Sistema de Ensino e Colégio (Marli). Itu. Presbiteriano Felipe Manoel de ... | Escolas no Ensino Fundamental I no Jardim Santa Cruz - Salto — Bolsas para Ensino Fundamental I no Jardim Santa Cruz - Salto. Mensalidades a partir de R ... prudente de moraes colegio · prima primeira ... Material Didático ... | Bolsas de estudo nas escolas de Guaraú em Salto — prudente de moraes colegio · prima primeira ... Salto Ville - Salto - SP. Saiba mais · Logo - jayme ... Material Didático Incluso. Infantil em alta! R ...
33145237;COLEGIO SAO JOAO BATISTA NOVA FRIBURGO;Nova Friburgo;"Colegio Sao Joao Batista Nova Friburgo — Colegio Sao Joao Batista Nova Friburgo. Encontre bolsas de estudo para ... material didático diferenciado e de alta qualidade. Atividades ... | Colegio Sao Joao Batista Nova Friburgo — ... Nova Friburgo - RJ; ›; Centro; ›; Colegio Sao Joao Batista Nova Friburgo ... material didático ... Material Didático. com base no Censo Escolar/2024. | ENEM 2014 — COLEGIO SAO JOAO BATISTA NOVA FRIBURGO, NOVA FRIBURGO, RJ, Privada, De ... SISTEMA DE ENSINO UNIVERSUS LTDA, RIO DE JANEIRO, RJ, Privada, De 40 ..."
32040083;COLEGIO SALESIANO N S DA VITORIA;Vitória;Planilha1 — Vitória, 33953000, 33953033, SECRETARIA@SALESIANO.ORG.BR. 312, Vitória, COLEGIO SALESIANO N S DA VITORIA, URBANA, 29017950, AVENIDA VITORIA, 950, FORTE SAO JOAO ... | características escola indicadores prouni — ... Vitória. Privada. Urbana. 30. De 1 a 30 alunos. 30. 100.00. 0. 80% ou mais. Muito ... SISTEMA DE ENSINO. PI. Teresina. Privada. Urbana. 25. De 1 a 30 alunos. 25. | Lista de Escolas por Estado e Cidade | PDF | Rio de Janeiro — COLEGIO SALESIANO N S DA VITORIA 61 Vitória ES COL PONTAGROSSENSE-EDUC INF ... SISTEMA DE ENSINO FUNDAMENATAL MEDIO E SUPERIOR LTDA-CD 57 João Pessoa PB
31260541;COLLEGIUM PRISMA;Montes Claros;1⃣ Antecipe-se Garanta já o material didático do seu filho ... — Montes Claros 169 anos 03 DE JULHO PARABÉNS À CAPITAL DO NORTE DE MINAS! ... Collegium Prisma. Photo by Rede Educacional Prisma on May 15 ... | Valéria Regina de Carvalho e Fagundes — ... Montes Claros. Especialista em Psicopedagogia (2001-2002) pela Universidade ... (Desenvolvimento de material didático ou instrucional - Projeto Pedagógico). | Chaveamento e Emparceiramento Regional Norte Sede - JEMG — Montes Claros. Sistema de Ensino Foco. Nova Porteirinha. E.E. Inspetor Luiz Pedro. Pirapora. Escola Técnica Alto Médio São Francisco. Rio Pardo de Minas. E.E. ...
35105600;SANTO AMERICO COLEGIO;São Paulo;📚✨ Hoje foi dia de muito treino! 🔹 No Colégio Santo ... — ... Santo Américo, Colégio Visconde de Porto Seguro e Colégio Vera Cruz ... São Paulo, são 169 aprovações do CPV. Quando a FGV publica uma ... | Alunos Premiados de Escolas Privadas — RIO CLARO SISTEMA DE ENSINO, P, RIO CLARO, SP, Sim. ANDRE HENRIQUE ALMEIDA GIANETTI DE SOUZA, ARQUIDIOCESANO DE SAO PAULO COLEGIO MARISTA ... SANTO AMERICO ... | SUMÁRIO — Confirmando esta experiência, anexou documentos procedentes de órgãos oficiais do sistema de ensino do Estado de São Paulo, empresas conveniadas e reportagens ...
24085634;CENTRO EDUCACIONAL MASTER;Natal;Ranking ENEM 2025 | Natal/RN Levantamento XTRI ... — ... Centro Educacional Master Média: 674,94 | N: 13 alunos Over Lagoa ... Natal e do IFRN Campus Central/Natal. ✍️ Redação A nota 980 foi ... | Ranking Enem 2025 no Ceará #microdados — ... Centro Educacional Master, Diocesano Santa Luzia, Colégio Simples, Marista de Natal, CEI Romualdo, IFRN Campus Mossoró e FACEX. Arraste para ... | PARCEIROS - EDUCAÇÃO — Centro Educacional Master. Endereço: Sede Natal - Av. Ayrton Senna, 761 - Capim Macio. Instagram: @colegiomaster.natal. Telefone: (84) 3235-1200. Desconto: 20 ...
53016726;UNICO EDUCACIONAL;Brasília;Instituição — É evidente que o colégio tem seus diferenciais, como o ritmo puxado, professores experientes e especialistas em suas áreas e material didático feito sob medida. | O início de um ano letivo único está chegando! Estamos ... — Photo by Único Educacional | Colégio e Pré-Vestibular em Brasília on January 21, ... Inove Sistema de Ensino aprender. Descobrir um mundo ... | Eduardo Fernandes Batista — Brasília: UNICO EDUCACIONAL, 2018 (MATERIAL DIDÁTICO). FERNANDES, Eduardo ... (Desenvolvimento de material didático ou instrucional - Apostila).
28017820;COLEGIO DO SALVADOR;Aracaju;"ACP Colégio do Salvador — educacionais privadas, vinculadas ao Sistema de Ensino do Estado de ... denúncias formalizadas na Promotoria de Defesa do Consumidor de Aracaju, por responsáveis ... | 1. De Portas Abertas - Colegio Salvador — ... material didático, escolinha de esportes e programas ... Alunos já matriculados no Colégio do Salvador não podem participar do Concurso de Bolsas. | Colégio do Salvador on Instagram: ""O acolhimento na ... — Photo by Colégio Salesiano Aracaju on June 08, 2026. May be an ... material didático, material didático excelente, que a gente pode ..."
33055947;COLEGIO SALESIANO SANTA ROSA;Niterói;Colégio Salesiano Santa Rosa — ... material didático exclusivo, a Coleção Girolhar, que se fundamenta no conceito ... Colégio Salesiano Santa Rosa | Rua Santa Rosa 207, Niterói, RJ, 24240225 ... | Educação — Niterói - RJ · Colégio Salesiano Resende. Resende · Colégio Salesiano Santa Rosa ... O material didático, promove diversos pilares de aprendizagem, como a ... | Colégios Salesianos (@saleniteroi) — Colégio Salesiano Santa Rosa Colégio Salesiano Região Oceânica Educação Infantil ao Ensino Médio 143 Anos de Presença em Niterói ❤️. Follow. Message ...
26122090;COLEGIO PRESBITERIANO AGNES ERSKINE;Recife;Eduardo Azevedo - Diretor/Advogado/Professor — Colegio Presbiteriano Agnes Erskine. jun. de 2019 - jan. de 2022 2 anos 8 meses. Recife. | Alunos Premiados de Escolas Privadas - 20ª OBMEP 2025 — SEI - SISTEMA DE ENSINO INTERATIVO, P, RIO DE JANEIRO, RJ, Bronze. JOÃO LUCAS ... COLEGIO PRESBITERIANO AGNES ERSKINE, P, RECIFE, PE, Bronze. DAVI GAIOSO MANSO ... | PREMIAÇÃO QUIMENINAS 2025- SÉRIE 1° ANO — COLEGIO PRESBITERIANO AGNES ERSKINE. PE. Recife certificado FLÁVIA QUEIROZ ... SISTEMA DE ENSINO AUTHENTICO. PA. Belém certificado CLARYSSA BARROS DE ...
51028646;INST PRESBITERIANO EDUCACAO SIMONTON;Tangará da Serra;Enem 2025: conheça as 15 escolas com as maiores notas ... — Farina Sistema de Ensino - Cuiabá - Areão - Nota: 668.92. Inst Presbiteriano Educacao Simonton - Tangará da Serra - Jardim Tanaka - Nota: 661.89. | Plan1 — Tangará da Serra, 51110016, ESCOLA TECNICA ESTADUAL DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE TANGARA DA SERRA - MT, 32, 30. 3039, 2016, 51, Tangará da Serra ... | SEDUC - Seduc - MT — FARINA SISTEMA DE ENSINO, 65, 36283033, AVENIDA MIGUEL SUTIL, 1695 ... ESCOLA TECNICA ESTADUAL DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE TANGARA DA SERRA - MT ...
35120637;PADRE ANCHIETA COLEGIO;Osasco;"Padre Anchieta Colegio - Osasco - SP — ... Osasco - SP; ›; Centro; ›; Padre Anchieta Colegio ... material didático, promovendo uma experiência de aprendizado rica e diversificada. ... Material Didático. com ... | dbo_TS_ESCOLA — ... OSASCO INSTITUTO EDUCACIONAL, SP, 1, 1, 0, 1, 0, 0, 0, 1. 489, 2014, 35103081, ALBERT ... SISTEMA DE ENSINO, SP, 1, 1, 0, 1, 0, 0, 0, 1. 1273, 2014, 35394142 ... | Listado de Colegios en Brasil | PDF — OSASCO II ETEC. SP. 4457. COLEGIO ADVENTISTA DE IMPERATRIZ. MA. 4458. UNIDADE ... SISTEMA DE ENSINO FUNDAMENATAL MEDIO E SUPERIOR LTDA-CDF-SUL. PB. 7312. SUELI ..."
35388786;LICEU PORTINARI DE ENSINO MEDIO;Limeira;Liceu Portinari de Ensino Médio - Limeira - SP — ... Limeira no bairro Jardim Aquarius, como foi o seu desempenho no IDEB ... Liceu Portinari de Ensino Médio. Liceu Portinari de Ensino Médio ... material didático ... | Premiação Regional de Alunos - 18ª OBMEP — LIMEIRA - COLEGIO TECNICO DE - UNICAMP, E, LIMEIRA, SP, Bronze. FRANCISCO ... LICEU PORTINARI DE ENSINO MEDIO, P, LIMEIRA, SP, Bronze. MANUELA FURLAN PERES ... | Ensino — ... LICEU PORTINARI DE ENSINO MEDIO. 35388786 SP. Limeira. ALUIZO FAUSTINO DO ... SISTEMA DE ENSINO. 35159013 SP. Rio Claro. ANA CLARA ALVES DE OLIVEIRA. 3º ano ...
33066566;COLEGIO DA COMPANHIA DE SANTA TERESA DE JESUS RJ;Rio de Janeiro;"Alunos Premiados de Escolas Privadas - 20ª OBMEP 2025 — COLEGIO DA COMPANHIA DE SANTA TERESA DE JESUS RJ, P, RIO DE JANEIRO, RJ, Bronze. ISABELA ANDRADE CARMONA, ALBERT SABIN COLEGIO, P, SAO PAULO, SP, Bronze. | Escola - COLEGIO MILITAR DO RIO DE JANEIRO — Escola - COLEGIO MILITAR DO RIO DE JANEIRO. Ficha; Entorno; Equipamentos ... SEI - SISTEMA DE ENSINO INTERATIVO R SANTA SOFIA - 98 - TIJUCA - CEP: 20540 ... | Rio de Janeiro 4912 escolas — ... Rio de Janeiro - Rio de Janeiro. Rede privada / Urbana · COLEGIO DA COMPANHIA DE SANTA TERESA DE JESUS RJ. RUA SAO FRANCISCO XAVIER, 11. TIJUCA. 20550010 Rio de ..."
35112768;FRANCISCANO AVE MARIA COLEGIO;Campinas;Bolsas de estudo nas escolas de Bosque em Campinas — Logo - franciscano ave maria colegio. Franciscano Ave Maria Colegio. 5.0(2) ... Material Didático Incluso. Vagas 2026. Vagas 2026. R$ 1.646,98. R$ 823,49 /mês ... | Premiação Regional de Alunos - Escolas Públicas ... — FRANCISCANO AVE MARIA COLEGIO, P, CAMPINAS, SP, Ouro. EMERSON HIROSHI TAKEDA ... ZETA SISTEMA DE ENSINO DE BIRIGUI, P, BIRIGUI, SP, Bronze. ISABELLA CRISTINA ... | Escolas em Bosque na cidade de Campinas — Logo - franciscano ave maria colegio. Franciscano Ave Maria Colegio. 5.0(2) ... Material Didático Incluso. Vagas 2026. Vagas 2026. R$ 1.553,75. R$ 776,88 /mês ...
31343781;COLEGIO VALE DO SAPUCAI;Pouso Alegre;"Alunos Premiados de Escolas Privadas - 20ª OBMEP 2025 — Alunos Premiados de Escolas Privadas - 20ª OBMEP 2025 ; PEDRO PAULO ANDRADE MAIA, COLEGIO VALE DO SAPUCAI, P · POUSO ALEGRE, MG ... | Ensino — ... Pouso Alegre. Alice Batista de Oliveira. 1º ano - Ensino Médio. 14. 16 COLEGIO ... SISTEMA DE ENSINO. 35159013 SP. Rio Claro. ANA CLARA ALVES DE OLIVEIRA. 3º ... | ENEM 2014 — ATUAL SISTEMA DE ENSINO, SABINOPOLIS, MG, Privada, 80% ou mais, Alto ... COLEGIO VALE DO SAPUCAI, POUSO ALEGRE, MG, Privada, De 60% a 80%, Muito ..."
33027722;COLEGIO FRANCISCANO SAGRADO CORACAO DE JESUS;Cabo Frio;Colegio Franciscano Sagrado Coracao De Jesus — Onde fica o Colegio Franciscano Sagrado Coracao De Jesus? Av Nilo Pecanha, 140 - centro, Cabo Frio - RJ. | Colegio Franciscano Sagrado Coracao De Jesus — Garanta sua bolsa de estudos em Colegio Franciscano Sagrado Coracao De Jesus, Cabo Frio - RJ ... Sistema de ensino. SM Educação. O sistema de ensino ... | Conheçam o Colégio Ame Mais! Um colégio católico que tem ... — Colégio Franciscano Sagrado Coração de Jesus Há 100 anos educando gerações! ... Cabo Frio. DISCIPLINA DENTRO E FORA DE CAMPO FOCO NA ...
35123419;COOPERATIVA DE ENSINO DE BIRIGUI;Birigui;"Chegou o momento de adquirir o material didático que ... — ... likes, 0 comments - coebbirigui on December 2, 2024: ""Chegou o momento de adquirir o material didático ... Cooperativa de Ensino de Birigui ... | Busca de escolas, municípios e estados — COOPERATIVA DE ENSINO DE BIRIGUI. FRANCISCO LAMACCHIA, 867 - RUA. CHACARAS ... ZETA SISTEMA DE ENSINO DE BIRIGUI. NOVE DE JULHO, 672 - RUA. CENTRO ... | Algumas histórias são contadas em anos. Outras, com ... — ... Cooperativa de Ensino de Birigui arraste para o lado e confira 2026 ... Sistema de Ensino TEMA: EDUCAÇÃO E FUTUROS POSSÍVEIS Uma noite ..."
33155860;COLEGIO ESPACO LIVRE;Nova Friburgo;ENEM 2014 — COLEGIO SAO JOAO BATISTA NOVA FRIBURGO, NOVA FRIBURGO, RJ ... SOMEC SISTEMA DE ENSINO, RIO DE JANEIRO, RJ, Privada, De 20% a 40%, Médio ... | educação - Listagens de Empresas — ... material didático, m Mais informações · Mensagem. 2 ... nova-friburgo. 0 Comentários. Nova Friburgo, Centro. Mensagem. 15. Colégio Espaço Livre ... Nova Friburgo ... | Lista de Escolas por Estado e Cidade | PDF | Rio de Janeiro — COLEGIO ESPACO LIVRE 17 Nova Friburgo RJ COLEGIO UNIVERSITARIO PADRE DE MAN ... SISTEMA DE ENSINO FUNDAMENATAL MEDIO E SUPERIOR LTDA-CD 57 João Pessoa PB
26122359;COLEGIO AUXILIADORA;Recife;"Ensino Médio - salesianas auxiliadora recife — No ensino médio, adotamos uma abordagem que combina o material didático ... Recife/PE - CEP: 52171-011 (81) 3222-3912 / (81) 3222-4097 secretaria ... | salesianas auxiliadora recife — CAMBRIDGE. MATERIAL DIDÁTICO – ROBÓTICA. ROBÔ CIÊNCIA 3 ANO- ALBERT EINSTEIN. Page 2. Rede Salesiana de Escolas – Colégio Auxiliadora. CNPJ: 10.809.838/0002-65 ... | Colégio Completude on Instagram: ""No Colégio Completude ... — SOMOS A MELHOR ESCOLA NO ENEM DA ZONA OESTE DO RECIFE 8º LUGAR NO RECIFE ... Colegio Auxiliadora Recife/PE 638,6 23 7° Cfi-colegio De ..."
31180602;COLEGIO BATISTA DE VARGINHA;Varginha;Colégio Batista Varginha — Colégio Batista Varginha, Varginha ... Página do Colégio Batista de Varginha no Facebook. ... A conversa seguiu o itinerário proposto pela apostila ... | Ensino Fundamental - Colégio Batista — O Colégio Batista de Varginha seguindo a determinação da Lei nº 10.172 ... sistema de ensino, as crianças prossigam nos estudos, alcançando maior ... | No Colégio Batista, seu filho aprende com materiais ... — Material didático ATUALIZADO, ensino conectado! mie MATRÍCULAS ... Photo by Colégio Batista de Varginha on July 07, 2026. May be an ...
50035088;COLEGIO MAESTRIA - ENEM E VESTIBULARES;Campo Grande;🏆 Adivinha quem está em 1º lugar no ENEM de Maringá ... — 6° COLEGIO MAESTRIA - ENEM E VESTIBULARES 674,54. 7° COLEGIO ALMIRANTE TAMANDARE 666,91. 8° COLEGIO MILITAR DE CAMPO GRANDE 666,28. 9 ... | Campo Grande-EB – Conselho Estadual de Educação — Maestria Colégio e Cursos – Unidade I anteriormente denominado Colégio Maestria – Enem e Vestibulares ... S.E.U Sistema de Ensino Unificado · SEALP – Educação ... | Escolas Particulares em Campo Grande — Seleção de escolas particulares em Campo Grande · >> Colégio Marista Alexander Fleming - ESCOLA RECOMENDADA · >> COLEGIO MAESTRIA - ENEM E VESTIBULARES · >> ...
29182654;COLEGIO SS SACRAMENTO;Salvador;Aluno Novo — Colégio SS. Sacramento - Salvador/BA, Colégio SS. Sacramento - Alagoinhas/BA ... Sistema de Ensino Passo a Passo - Belém, Sociedade Cultural e ... | Lista de Escolas por Estado e Cidade | PDF | Rio de Janeiro — COLEGIO SS SACRAMENTO 102836 72 Salvador BA COLEGIO MILITAR DO RECIFE 113 ... SISTEMA DE ENSINO FUNDAMENATAL MEDIO E SUPERIOR LTDA-CD 57 João Pessoa PB | ENEM ESCOLA Page 1 SIGLA NO_MUNICIPIO ... — ... SISTEMA DE ENSINO LTDA. Privada. 487,1512195 514,9707317 553,6134146 539 ... SALVADOR. CENT EDUC ADVENTISTA PEDRO II. Privada. 471,5 499,3615385 541,1461538 ...
31007498;COLEGIO FRANCISCANO CORACAO DE MARIA;Belo Horizonte;Colégio Franciscano Coração de Maria — de Belo Horizonte é integral, preparando para a vida com propósito ... Sistema de Ensino. Join Colégio Franciscano Coração de Maria ... | Colégio Franciscano Coração De Maria - - Unidade ... — Desde 1967, o Colégio Franciscano Coração de Maria tem construído uma trajetória de educação marcada pela fé e pela ciência em Belo Horizonte, ... | Colégio Franciscano Coração De Maria - - Unidade ... — Garanta sua bolsa de estudos em Colégio Franciscano Coração De Maria - - Unidade Candelária, Belo Horizonte - MG ... Sistema de ensino. SM Educação. O ...
