codigo_escola;NO_ENTIDADE;codigo_municipio;rank_municipio;n_escolas_confiaveis_municipio;segmento_comercial;rede_propria_poliedro;enem_media_geral;qtd_participantes_enem;indice_infra;QT_MAT_MED;score_destaque;produto_alvo;enem_media_geral_2024;qtd_participantes_enem_2024;enem_media_2anos;delta_enem_2025_2024;cidade;UF;score_priorizacao_cidade;distrito;LATITUDE;LONGITUDE;cep;bairro;granularidade_geo;renda_mediana_responsavel;renda_categoria;sistema_ensino_identificado;confianca;ja_cliente_poliedro_qualquer_marca
31004812;COLEGIO SANTO ANTONIO;3106200;3,0;110;Desafiante (2º-5º local);False;751,41197740113;177,0;5,0;655,0;0,947;Poliedro;749,4875000000001;184,0;750,4310803324099;1,9244774011299344;Belo Horizonte;MG;0,9738;Belo Horizonte;-19,93487;-43,93506;30130156;SAVASSI;nao_aplicavel;10000,0;Alta (≥ R$ 5.000);não identificado;provavel_proprio;False
27220885;COLEGIO CONTATO MACEIO;2704302;1,0;63;Líder local;False;695,4914649681529;157,0;5,0;496,0;0,947;Poliedro;673,8842051282052;195,0;683,5215340909091;21,607259839947687;Maceió;AL;0,6386;Maceió;-9,645933;-35,70392;57036740;JATIÚCA;nao_aplicavel;5000,0;Alta (≥ R$ 5.000);Poliedro;confirmado;True
23245573;MASTER COLEGIO;2304400;2,0;117;Desafiante (2º-5º local);False;748,7124324324325;37,0;5,0;132,0;0,946;Poliedro;738,9097297297297;37,0;743,8110810810812;9,802702702702732;Fortaleza;CE;0,8208;Fortaleza;-3,7345814;-38,5607871;60325002;PRESIDENTE KENNEDY;nao_aplicavel;1800,0;Média (R$ 1.800-2.999);Eleva;confirmado;False
26189569;COLEGIO COGNITIVO;2611606;1,0;76;Líder local;False;736,5988571428571;70,0;5,0;305,0;0,945;Poliedro;724,8477272727273;88,0;730,053924050633;11,75112987012983;Recife;PE;0,9162;Recife;-8,039320121;-34,91656747;51160330;IMBIRIBEIRA;nao_aplicavel;1600,0;Baixa (< R$ 1.800);não identificado;provavel_proprio;False
26534711;COLEGIO COGNITIVO;2611606;2,0;76;Desafiante (2º-5º local);False;736,4080303030303;132,0;5,0;433,0;0,945;Poliedro;728,9612612612613;111,0;733,0064197530864;7,446769041769016;Recife;PE;0,9162;Recife;-8,112833393;-34,90506163;52060460;SANTANA;nao_aplicavel;8000,0;Alta (≥ R$ 5.000);não identificado;provavel_proprio;False
31004031;COLEGIO SANTA MARCELINA;3106200;4,0;110;Desafiante (2º-5º local);False;729,8276470588235;68,0;5,0;266,0;0,944;Poliedro;728,1967567567567;74,0;728,9777464788732;1,6308903020667458;Belo Horizonte;MG;0,9738;Belo Horizonte;-19,8574963;-43,966769;31275070;SÃO LUIZ;nao_aplicavel;7000,0;Alta (≥ R$ 5.000);FTD;confirmado;False
33062633;COL DE SAO BENTO;3304557;2,0;344;Desafiante (2º-5º local);False;728,5694117647059;68,0;5,0;207,0;0,944;Poliedro;732,6521212121212;66,0;730,5802985074628;-4,082709447415255;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-22,8978;-43,17965;20090030;CENTRO;bairro;3000,0;Média-Alta (R$ 3.000-4.999);não identificado;provavel_proprio;False
26118165;COLEGIO EQUIPE;2611606;3,0;76;Desafiante (2º-5º local);False;727,4376271186441;59,0;5,0;234,0;0,943;Poliedro;711,516923076923;65,0;719,0920967741936;15,920704041721024;Recife;PE;0,9162;Recife;-8,049735;-34,90529;50610050;MADALENA;nao_aplicavel;6000,0;Alta (≥ R$ 5.000);Equipe (regional Norte-Nordeste);confirmado;False
33063656;ASSOCIACAO DO COLEGIO NOSSA SENHORA DE SION;3304557;3,0;344;Desafiante (2º-5º local);False;692,3626666666667;15,0;5,0;51,0;0,943;Poliedro;687,6759999999999;15,0;690,0193333333334;4,686666666666724;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-22,93854;-43,196;22241090;COSME VELHO;bairro;4200,0;Média-Alta (R$ 3.000-4.999);Par (Cogna/SOMOS);confirmado;False
23272430;ARI DE SA CAVALCANTE - ALDEOTA;2304400;3,0;117;Desafiante (2º-5º local);False;727,3330325814536;133,0;5,0;658,0;0,943;Poliedro;722,8284219001611;207,0;724,5905196078431;4,504610681292547;Fortaleza;CE;0,8208;Fortaleza;-3,74592511;-38,49271434;60175010;ALDEOTA;nao_aplicavel;8000,0;Alta (≥ R$ 5.000);SAS (Arco Educação);confirmado;False
33104220;RECANTO INF IMACULADA CONCEICAO;3304557;4,0;344;Desafiante (2º-5º local);False;689,8397777777778;90,0;5,0;311,0;0,941;Poliedro;706,4522222222222;78,0;697,5526984126984;-16,61244444444435;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-23,01703344;-43,45810835;22795077;RECREIO DOS BANDEIRANTES;bairro;6000,0;Alta (≥ R$ 5.000);próprio (menção a eventual FTD no texto — não confirmado, checar de novo depois);provavel_proprio;False
33100713;COL SAINT JOHN;3304557;5,0;344;Desafiante (2º-5º local);False;689,3208333333333;24,0;5,0;82,0;0,94;Poliedro;684,6236842105263;38,0;686,441935483871;4,697149122806991;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-23,00394967;-43,35183861;22631360;BARRA DA TIJUCA;bairro;10001,0;Alta (≥ R$ 5.000);próprio;confirmado;False
33065403;COLEGIO SANTO AGOSTINHO;3304557;6,0;344;Outras posições;False;715,884;125,0;5,0;436,0;0,94;Poliedro;717,058954248366;153,0;716,5306474820145;-1,1749542483660207;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-22,98427;-43,22075;22430220;LEBLON;bairro;12000,0;Alta (≥ R$ 5.000);não identificado;provavel_proprio;False
35805555;EMBRAER JUAREZ WANDERLEY COLEGIO;3549904;1,0;27;Líder local;False;715,7219607843138;153,0;5,0;475,0;0,939;Poliedro;708,2820309050772;151,0;712,0264692982457;7,439929879236502;São José dos Campos;SP;0,9207;São José dos Campos;-23,1309549;-45,763159;12247611;EUGENIO DE MELLO;nao_aplicavel;2700,0;Média (R$ 1.800-2.999);Pitágoras (Cogna/SOMOS);confirmado;False
32041152;ESCOLA SAO DOMINGOS;3205309;1,0;18;Líder local;False;712,7585585585585;74,0;5,0;256,0;0,938;Poliedro;706,4353846153847;65,0;709,8016786570744;6,323173943173856;Vitória;ES;0,9347;Vitória;-20,3132046;-40,3092645;29050680;BENTO FERREIRA;nao_aplicavel;7000,0;Alta (≥ R$ 5.000);Eleva;confirmado;False
15168344;COLEGIO EQUIPE CRISTAL;1501402;1,0;65;Líder local;False;686,5726315789474;57,0;5,0;203,0;0,937;Poliedro;669,1164285714285;56,0;677,9217699115045;17,456203007518866;Belém;PA;0,6935;Belém;;;66635894;PARQUE VERDE;nao_aplicavel;2000,0;Média (R$ 1.800-2.999);Equipe (regional Norte-Nordeste);confirmado;False
31333921;COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA;3144805;1,0;8;Líder local;False;710,295303030303;88,0;5,0;351,0;0,936;Poliedro;704,9586956521739;92,0;707,5677037037037;5,336607378129088;Nova Lima;MG;0,843;Nova Lima;-19,99206667;-43,92969;34008053;VALE DOS CRISTAIS;nao_aplicavel;2600,0;Média (R$ 1.800-2.999);SAS (Arco Educação);confirmado;False
33135371;COLEGIO CRUZEIRO - JACAREPAGUA;3304557;7,0;344;Outras posições;False;706,7892473118279;93,0;5,0;309,0;0,935;Poliedro;705,0477235772357;82,0;705,973219047619;1,7415237345921923;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-22,93371236;-43,35472763;22770103;PECHINCHA;bairro;4500,0;Média-Alta (R$ 3.000-4.999);não identificado;provavel_proprio;False
24057169;FACEX;2408102;2,0;48;Desafiante (2º-5º local);False;684,2877777777777;48,0;5,0;170,0;0,934;Poliedro;670,1132258064515;62,0;676,2984848484848;14,174551971326196;Natal;RN;0,8531;Natal;-5,8516495;-35,2066397;59080020;CAPIM MACIO;nao_aplicavel;6000,0;Alta (≥ R$ 5.000);SAS (Arco Educação);confirmado;False
33062609;COLEGIO CRUZEIRO-CENTRO;3304557;8,0;344;Outras posições;False;703,9823717948718;104,0;5,0;333,0;0,934;Poliedro;710,2174418604651;86,0;706,8045614035087;-6,235070065593277;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-22,91138988;-43,18958779;20230180;CENTRO;bairro;3000,0;Média-Alta (R$ 3.000-4.999);livro didático avulso (múltiplas editoras);confirmado;False
43139108;UNIDADE DE ENSINO COLEGIO SINODAL - SAO LEOPOLDO;4318705;1,0;5;Líder local;False;715,5817142857143;70,0;5,0;271,0;0,934;Poliedro;688,5962499999999;80,0;701,1894666666667;26,98546428571433;São Leopoldo;RS;0,5107;São Leopoldo;-29,77586905;-51,13703789;93030132;MORRO DO ESPELHO;nao_aplicavel;6000,0;Alta (≥ R$ 5.000);Bernoulli;confirmado;False
31006238;COLEGIO LOYOLA;3106200;5,0;110;Desafiante (2º-5º local);False;703,6927619047619;140,0;5,0;619,0;0,933;Poliedro;690,6842512077295;138,0;697,2352997601919;13,00851069703242;Belo Horizonte;MG;0,9738;Belo Horizonte;-19,9348607;-43,9498183;30110051;CIDADE JARDIM;nao_aplicavel;7000,0;Alta (≥ R$ 5.000);SAS (Arco Educação);confirmado;False
33078866;ASSOCIACAO EDUCACIONAL GARRIGA DE MENEZES;3304557;9,0;344;Outras posições;False;703,2114285714285;21,0;5,0;58,0;0,933;Poliedro;684,0559999999999;35,0;691,2392857142856;19,15542857142861;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-22,93727;-43,3439;22745270;FREGUESIA (JACAREPAGUÁ);bairro;5000,0;Alta (≥ R$ 5.000);Geekie One (Arco Educação);confirmado;False
33057206;INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO;3303302;2,0;42;Desafiante (2º-5º local);False;713,3588000000001;100,0;5,0;300,0;0,933;Poliedro;717,0218421052632;76,0;714,9405681818182;-3,663042105263117;Niterói;RJ;0,9692;Niterói;-22,9167797;-43,08928072;24365050;SÃO FRANCISCO;nao_aplicavel;6000,0;Alta (≥ R$ 5.000);livro didático avulso (múltiplas editoras) — Gaylussac/Cognita;confirmado;False
31193097;COLEGIO SAO FRANCISCO XAVIER - CARIRU;3131307;1,0;8;Líder local;False;702,7575438596491;114,0;5,0;355,0;0,933;Poliedro;687,4296103896104;77,0;696,5782198952879;15,327933470038715;Ipatinga;MG;0,7737;Ipatinga;-19,4953738;-42,5327132;35160114;CARIRU;nao_aplicavel;6000,0;Alta (≥ R$ 5.000);Bernoulli;confirmado;False
31205265;INST PRESBITERIANO GAMMON;3138203;1,0;8;Líder local;False;698,7708196721311;61,0;5,0;197,0;0,93;Poliedro;690,8181481481482;72,0;694,4656140350877;7,952671523982872;Lavras;MG;0,6994;Lavras;-21,2307738;-44,997406;37200232;CENTRO;nao_aplicavel;2000,0;Média (R$ 1.800-2.999);Fibonacci;confirmado;False
15103080;GRUPO FUTURO EDUCACIONAL MARABA;1504208;1,0;9;Líder local;False;708,6123076923076;13,0;5,0;92,0;0,93;Poliedro;637,865;24,0;662,7221621621622;70,74730769230757;Marabá;PA;0,5206;Marabá;-5,34764674;-49,13367098;68500090;VELHA MARABÁ;nao_aplicavel;1300,0;Baixa (< R$ 1.800);SAS (Arco Educação);confirmado;False
31014061;COLEGIO SANTO AGOSTINHO-UNIDADE CONTAGEM;3118601;1,0;17;Líder local;False;697,7963636363636;77,0;5,0;252,0;0,93;Poliedro;690,3854545454545;66,0;694,3759440559442;7,410909090909058;Contagem;MG;0,6616;Contagem;-19,96174167;-44,05777167;32241250;JARDIM RIACHO DAS PEDRAS;nao_aplicavel;1850,0;Média (R$ 1.800-2.999);SAS (Arco Educação);confirmado;False
26122081;COLEGIO DAS DAMAS DA INSTRUCAO CRISTA;2611606;4,0;76;Desafiante (2º-5º local);False;680,7715525114155;146,0;5,0;501,0;0,93;Poliedro;682,5244444444445;162,0;681,6935281385282;-1,752891933028991;Recife;PE;0,9162;Recife;-8,0410292;-34,9027144;52050000;GRACAS;nao_aplicavel;10000,0;Alta (≥ R$ 5.000);Bernoulli;confirmado;False
32040032;CE LEONARDO DA VINCI;3205309;2,0;18;Desafiante (2º-5º local);False;695,9213333333333;50,0;5,0;219,0;0,927;Poliedro;717,4524137931035;58,0;707,4843209876543;-21,531080459770124;Vitória;ES;0,9347;Vitória;-20,30783;-40,3014783;29056910;SANTA LÚCIA;nao_aplicavel;6000,0;Alta (≥ R$ 5.000);próprio;provavel_proprio;False
32040040;COLEGIO PRIMEIRO MUNDO;3205309;3,0;18;Desafiante (2º-5º local);False;702,2151724137931;29,0;5,0;95,0;0,927;Poliedro;685,156388888889;24,0;694,4904402515723;17,05878352490413;Vitória;ES;0,9347;Vitória;-20,3010626;-40,299647;29055420;PRAIA DO CANTO;nao_aplicavel;11000,0;Alta (≥ R$ 5.000);Anglo (Cogna/SOMOS);confirmado;False
31193216;ESCOLA EDUCACAO CRIATIVA;3131307;2,0;8;Desafiante (2º-5º local);False;695,433933933934;111,0;5,0;339,0;0,927;Poliedro;701,3985454545455;110,0;698,4027450980392;-5,96461152061147;Ipatinga;MG;0,7737;Barra Alegre;-19,4676028;-42,5567109;35162391;CIDADE NOBRE;nao_aplicavel;4000,0;Média-Alta (R$ 3.000-4.999);próprio;confirmado;False
15167275;COLEGIO EQUIPE LTDA;1501402;2,0;65;Desafiante (2º-5º local);False;753,5191452991453;39,0;4,0;41,0;0,926;Poliedro;746,2757575757577;33,0;750,1992592592592;7,243387723387627;Belém;PA;0,6935;Belém;-1,451656667;-48,48468667;66040174;NAZARE;nao_aplicavel;7500,0;Alta (≥ R$ 5.000);Equipe (regional Norte-Nordeste);confirmado;False
23071036;ARI DE SA CAVALCANTE - WASHINGTON SOARES;2304400;4,0;117;Desafiante (2º-5º local);False;694,94688172043;93,0;5,0;310,0;0,926;Poliedro;683,0996078431373;119,0;688,2967610062893;11,847273877292764;Fortaleza;CE;0,8208;Fortaleza;-3,78833617;-38,48001447;60811341;EDSON QUEIROZ;nao_aplicavel;1300,0;Baixa (< R$ 1.800);SAS (Arco Educação);confirmado;False
31387860;COLEGIO MAGNUM AGOSTINIANO;3106200;6,0;110;Outras posições;False;694,66;11,0;5,0;63,0;0,926;Poliedro;;;694,66;;Belo Horizonte;MG;0,9738;Belo Horizonte;;;30130188;LOURDES;nao_aplicavel;10000,0;Alta (≥ R$ 5.000);SAS (Arco Educação);confirmado;False
15181081;COLEGIO INTEGRADO IN;1501402;3,0;65;Desafiante (2º-5º local);False;747,4823076923077;26,0;4,0;26,0;0,925;Poliedro;;;747,4823076923077;;Belém;PA;0,6935;Belém;;;66060230;NAZARÉ;nao_aplicavel;7500,0;Alta (≥ R$ 5.000);próprio;confirmado;False
29480620;CENTRO EDUCACIONAL VILLA LOBOS;2905701;1,0;9;Líder local;False;694,376923076923;13,0;5,0;83,0;0,925;Poliedro;688,3075;16,0;691,028275862069;6,069423076923044;Camaçari;BA;0,4553;Camaçari;;;42825001;CATU DE ABRANTES;nao_aplicavel;1212,0;Baixa (< R$ 1.800);SAS (Arco Educação);confirmado;False
31006157;COLEGIO LOGOSOFICO GONZALEZ PECOTCHE;3106200;7,0;110;Outras posições;False;693,8408888888889;45,0;5,0;150,0;0,925;Poliedro;687,4409523809524;42,0;690,7512643678161;6,399936507936559;Belo Horizonte;MG;0,9738;Belo Horizonte;-19,92804704;-43,92646981;30150322;SANTA EFIGENIA;nao_aplicavel;5000,0;Alta (≥ R$ 5.000);livro didático avulso (múltiplas editoras);confirmado;False
33160830;COLEGIO MARISTA SAO JOSE BARRA;3304557;10,0;344;Outras posições;False;677,7646153846154;39,0;5,0;161,0;0,925;Poliedro;688,4057777777778;30,0;682,3912077294685;-10,641162393162404;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-22,969045;-43,3817279;22775058;JACAREPAGUÁ;bairro;1800,0;Média (R$ 1.800-2.999);Marista (FTD, rede fechada);confirmado;False
43173330;COL JOAO PAULO I - UNIDADE SUL;4314902;1,0;61;Líder local;False;697,0964705882352;34,0;5,0;163,0;0,923;Poliedro;718,3538596491228;38,0;708,3156481481482;-21,25738906088759;Porto Alegre;RS;0,9276;Porto Alegre;-30,12594;-51,23891;91760630;JARDIM ISABEL;nao_aplicavel;10000,0;Alta (≥ R$ 5.000);SAS (Arco Educação);confirmado;False
23067071;COLEGIO CHRISTUS BARAO DE STUDART;2304400;5,0;117;Desafiante (2º-5º local);False;692,3433663366336;101,0;5,0;283,0;0,923;Poliedro;679,2574358974359;78,0;686,6411173184357;13,085930439197682;Fortaleza;CE;0,8208;Fortaleza;-3,7383312;-38,5072725;60140140;ALDEOTA;nao_aplicavel;8000,0;Alta (≥ R$ 5.000);FTD;confirmado;False
35115712;RAUL BAUAB DOUTOR FUNDACAO EDUCACIONAL COLEGIO;3525300;1,0;10;Líder local;False;696,8872222222221;36,0;5,0;115,0;0,923;Poliedro;653,1302702702702;37,0;674,7090410958904;43,75695195195192;Jaú;SP;0,6541;Jaú;-22,28586355;-48,55313576;17207310;CHACARA BRAZ MIRAGLIA;nao_aplicavel;2100,0;Média (R$ 1.800-2.999);Anglo (Cogna/SOMOS);confirmado;False
35399197;OBJETIVO COLEGIO INTEGRADO;3550308;1,0;516;Líder local;False;763,9009523809524;42,0;5,0;160,0;0,923;Poliedro;746,1483720930232;43,0;754,9202352941177;17,752580287929163;São Paulo;SP;0,8116;Bela Vista;-23,565213;-46,6511105;1310100;BELA VISTA;distrito;5001,0;Alta (≥ R$ 5.000);Objetivo;confirmado;False
33063419;COL FRANCO BRASILEIRO;3304557;11,0;344;Outras posições;False;689,4951351351352;111,0;5,0;357,0;0,921;Poliedro;681,3169523809523;105,0;685,5196296296295;8,178182754182899;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-22,93149;-43,17956;22240000;LARANJEIRAS;bairro;8000,0;Alta (≥ R$ 5.000);não identificado;provavel_proprio;False
52103137;COLEGIO ARENA;5208707;1,0;68;Líder local;False;695,3573529411765;340,0;5,0;1403,0;0,921;Poliedro;703,5377570093458;321,0;699,329984871407;-8,18040406816931;Goiânia;GO;0,9482;Goiânia;;;74210240;SETOR BUENO;nao_aplicavel;2500,0;Média (R$ 1.800-2.999);Poliedro;confirmado;True
31004871;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;3106200;8,0;110;Outras posições;False;688,990625;32,0;5,0;80,0;0,92;Poliedro;678,5992;25,0;684,4329824561404;10,391425000000028;Belo Horizonte;MG;0,9738;Belo Horizonte;-19,92879;-43,92795;30130066;FUNCIONÁRIOS;nao_aplicavel;10000,0;Alta (≥ R$ 5.000);Poliedro;confirmado;True
35142967;COLEGIO ENGENHEIRO SALVADOR ARENA;3548708;1,0;33;Líder local;False;688,7268421052632;190,0;5,0;620,0;0,92;Poliedro;686,4663959390863;197,0;687,5761757105944;2,260446166176962;São Bernardo do Campo;SP;0,8204;São Bernardo do Campo;-23,7360406;-46,5826858;9850550;ASSUNCAO;nao_aplicavel;3100,0;Média-Alta (R$ 3.000-4.999);não identificado;provavel_proprio;False
25306936;ESCOLA INTERNACIONAL CIDADE VIVA;2507507;2,0;55;Desafiante (2º-5º local);False;694,507741935484;31,0;5,0;139,0;0,92;Poliedro;693,3764705882353;17,0;694,1070833333333;1,1312713472486848;João Pessoa;PB;0,8675;João Pessoa;-7,0897935;-34,838463;58036630;AEROCLUBE;nao_aplicavel;5000,0;Alta (≥ R$ 5.000);próprio;confirmado;False
35286187;ETAPA COLEGIO;3556206;1,0;6;Líder local;False;734,5669230769231;130,0;5,0;416,0;0,92;Poliedro;723,4551815181518;101,0;729,7085425685426;11,111741558771314;Valinhos;SP;0,8018;Valinhos;-23,00153167;-47,00892833;13278160;DOIS CORREGOS;nao_aplicavel;3001,0;Média-Alta (R$ 3.000-4.999);Etapa;confirmado;False
31354562;COLEGIO GABARITO;3170107;1,0;13;Líder local;False;733,8154838709677;31,0;5,0;283,0;0,92;Poliedro;;;733,8154838709677;;Uberaba;MG;0,7922;Uberaba;-19,76583;-47,95201;38050106;SANTA MARIA;nao_aplicavel;2900,0;Média (R$ 1.800-2.999);não identificado;provavel_proprio;False
24057126;COLEGIO SALESIANO SAO JOSE;2408102;3,0;48;Desafiante (2º-5º local);False;674,26;59,0;5,0;212,0;0,919;Poliedro;659,7144736842106;76,0;666,0714074074074;14,545526315789402;Natal;RN;0,8531;Natal;-5,7810182;-35,2055346;59012530;RIBEIRA;nao_aplicavel;5000,0;Alta (≥ R$ 5.000);não identificado;provavel_proprio;False
33064369;ESCOLA ORT;3304557;12,0;344;Outras posições;False;688,1082608695652;46,0;5,0;189,0;0,919;Poliedro;680,3108;50,0;684,0470833333334;7,7974608695652705;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-22,95606;-43,18745;22280020;BOTAFOGO;bairro;8000,0;Alta (≥ R$ 5.000);não identificado;provavel_proprio;False
23498994;COLEGIO CHRISTUS UNIDADE PARQUELANDIA;2304400;6,0;117;Outras posições;False;687,9032432432432;37,0;5,0;139,0;0,919;Poliedro;677,6742307692307;52,0;681,9267415730336;10,229012474012508;Fortaleza;CE;0,8208;Fortaleza;-3,7476767;-38,5619397;60442611;BELA VISTA;nao_aplicavel;1300,0;Baixa (< R$ 1.800);FTD;confirmado;False
33077029;COL BAHIENSE LTDA;3304557;13,0;344;Outras posições;False;693,0666666666666;39,0;5,0;94,0;0,919;Poliedro;689,9206060606061;33,0;691,6247222222222;3,146060606060473;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-22,9437938;-43,3322171;22750006;ANIL;bairro;3000,0;Média-Alta (R$ 3.000-4.999);SAS (Arco Educação);confirmado;False
33176825;COLEGIO SANTO AGOSTINHO - UNIDADE INSTITUTO CULTURAL SANTO AGOSTINHO;3304557;14,0;344;Outras posições;False;713,0410055865922;179,0;5,0;599,0;0,919;Poliedro;706,8174857142857;175,0;709,964406779661;6,223519872306497;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-23,00152423;-43,38428344;22793081;BARRA DA TIJUCA;bairro;10001,0;Alta (≥ R$ 5.000);SAS (Arco Educação);confirmado;False
25093061;COLEGIO NOSSA SENHORA DE LOURDES;2507507;3,0;55;Desafiante (2º-5º local);False;673,9504;25,0;5,0;116,0;0,919;Poliedro;639,8818604651162;43,0;652,4070588235293;34,06853953488371;João Pessoa;PB;0,8675;João Pessoa;-7,120728333;-34,86917333;58040000;TORRE;nao_aplicavel;2400,0;Média (R$ 1.800-2.999);Bernoulli;confirmado;False
33055866;COLEGIO MARILIA MATTOSO;3303302;3,0;42;Desafiante (2º-5º local);False;728,492;10,0;5,0;80,0;0,918;Poliedro;704,9269565217392;23,0;712,0678787878787;23,565043478260804;Niterói;RJ;0,9692;Niterói;-22,89985853;-43,12913115;24210230;SAO DOMINGOS;nao_aplicavel;5001,0;Alta (≥ R$ 5.000);Bernoulli;confirmado;False
43104975;CENTRO DE ENSINO MEDIO FARROUPILHA - UNIDADE DE ENSINO COLEGIO FARROUPILHA;4314902;2,0;61;Desafiante (2º-5º local);False;692,887231638418;177,0;5,0;625,0;0,918;Poliedro;663,8921247563353;171,0;678,6396360153257;28,995106882082723;Porto Alegre;RS;0,9276;Porto Alegre;-30,03584;-51,17065;91330150;TRÊS FIGUEIRAS;nao_aplicavel;12000,0;Alta (≥ R$ 5.000);próprio;confirmado;False
