codigo_escola;NO_ENTIDADE;cidade;snippets
23246847;FARIAS BRITO COLEGIO DE APLICACAO;Fortaleza;"A Prefeitura de Fortaleza abriu, nesta quinta-feira (23/07) ... — ... material didático, laboratório de redação, passagem de ônibus, lanche e ... Farias Brito Colégio de Aplicação (Fortaleza) – 793,33 pontos | Ranking do Enem: Melhores escolas do Brasil na redação — Sistema de Ensino Equipe Integrado Eireli – EPP | Belém (PA): 906,7; Farias Brito Colégio de Aplicação | Fortaleza (CE): 906,0; Colégio Galileu ... | Multitude Sistema de Ensino on Instagram: ""Multitude e o ... — Photo by Multitude Sistema de Ensino on June 24, 2026. May be an ... Farias Brito Colégio de Aplicação Fortaleza/CE 793,30 3º Christus ..."
26156202;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;Recife;O Colégio Pontual se orgulha imensamente de ver os ... — ... Sistema de Ensino 73. 3215 0055 www.colegioieprol.com.br ... Recife, Colegio de Aplicacao do CE da UFPE, Colegio GGE, Colegio Saber ... | Alunos Premiados de Escolas Privadas — MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II, P, RECIFE, PE, Bronze. LUCAS ... SISTEMA DE ENSINO UNO VERTICE, P, DIVINOPOLIS, MG, Bronze. HEITOR SOARES DE ... | Enem 2025: conheça as 15 escolas com as maiores notas ... — Escola de Referência em Ensino Fundamental e Médio Aplicação do Recife - 713,33 - Recife (Pernambuco) - Público - 97% ... MD Educacional- Colégio ...
23272333;FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL;Fortaleza;Alunos Premiados de Escolas Privadas - 16ª OBMEP — Material Didático. Provas e Soluções · Banco de Questões · Apostilas do PIC ... FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL, P, FORTALEZA, CE, ---, Sim. PEDRO ... | Destaque Enem 2025 - Redação! #VemSerGrande # ... — Fortaleza lidera em número de escolas no top 100 com quatro instituições: EEM Doutor César Cals (51º), Colégio da Polícia Militar General ... | OURO PRATA — AMADEU GOMES DE BARROS LEAL BISNETO FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL FORTALEZA ... SISTEMA DE ENSINO EQUIPE ANANINDEUA EIRELLI. ANANINDEUA. PA. 27 ...
31329282;COLEGIO BATISTA MINEIRO - UNIDADE BURITIS II;Belo Horizonte;Taxa de Distorção Idade/Série - Belo Horizonte — COLEGIO BATISTA MINEIRO - UNIDADE BURITIS II. 1,2%. COLEGIO BERNOULLI CIDADE ... SISTEMA DE ENSINO ERIDA DURAES. 10,8%. SISTEMA EDUCACIONAL ATHENA ... | Minha Escola Legal — BELO HORIZONTE, RUA EMBARÉ, 258, GUARANI, (31) 34336115. CENTRO FORMAÇÃO ... ATUAL SISTEMA DE ENSINO, SABINÓPOLIS, RUA JOVAL DE PINHO, 101, CENTRO, (33) 34232352. | Girlaine Figueiró Oliveira — Parecer sobre renovação do reconhecimento do Ensino Médio ministrado pelo Colégio Batista Mineiro ? Unidade Buritis II, de Belo Horizonte.. 2020. OLIVEIRA ...
26137631;COLEGIO NUCLEO;Recife;Metodologia e Propósito — Somamos a isso uma equipe de professores envolvida com as novas tecnologias e um material didático eficiente e completo, em todas as etapas do ensino. ... Rui ... | Uma história de - evolução e conquistas — novas tecnologias e um material didático completo, permitindo que o aprendizado ... Em 2020, os alunos do. 6º ano transitaram pelo. Recife em um catamarã,. | O estudante pernambucano Ricardo Belém, do Colégio ... — O estudante pernambucano Ricardo Belém, do Colégio Núcleo, no Recife ... Photo by Bernoulli Sistema de Ensino on June 24, 2026. May be an ...
29365023;COLEGIO OFICINA;Salvador;Comunicação - Colégio Oficina, Author at ... — Poliedro: mais que um sistema de ensino, uma grande parceria pedagógica. Ser ... Salvador, março de 2019 Prezadas Famílias, A 13ª Gincana do Colégio ... | O Colégio Oficina alcançou o 4º lugar em Salvador e o 6º ... — COLÉGIO OFICINA – SALVADOR (PITUBA) – NOTA: 696,47 7. CENTRO ... Sistema de Ensino. oficinavcoficial's profile picture · oficinavcoficial. | Volta às aulas + 1º lugar da Bahia no Enem = a combinação ... — ... Sistema de Ensino: metodologia testada na prática, dentro de casa ... O Colégio Oficina alcançou o 4º lugar em Salvador e o 6º lugar na ...
22022406;COLEGIO LEROTE LTDA;Teresina;Nossos alunos marcaram presença no ENEM ON FIRE em ... — ... Teresina! Uma super revisão cheia de energia, foco e aprendizado ... Colégio Lerote Ltda Teresina/PI 717,0 41 -1,0% Excelência que ... | O Colégio Propósito (@colegioproposito ) anunciou nessa ... — Muito bom receber vcs aqui! July 1. OCR. COLÉGIO D. PEDRO II SISTEMA DE ENSINO POSITIVO ... 9º Teresina Colégio Lerote Ltda 717,02 10º Teresina ... | Taxa de Distorção Idade/Série - Teresina — COLEGIO LEROTE LTDA. 5,1%. COLEGIO MADRE SAVINA. 1,4%. COLEGIO PEDROSA ... EINSTEIN SISTEMA DE ENSINO - UNIDADE I. 10,5%. EM ALICE PIRES DO NASCIMENTO. 2 ...
35103548;SAO LUIS COLEGIO EIFM;São Paulo;Alunos Premiados de Escolas Privadas - 16ª OBMEP — ZETA SISTEMA DE ENSINO DE BIRIGUI, P, BIRIGUI, SP, Sim. MARIA EDUARDA BATISTA SÁ ... JUNTA DE EDUCAÇÃO DA CONVENÇÃO BATISTA DO ESTADO DE SÃO PAULO, P, BAURU ... | MEDALHA DE OURO — SAO LUIS COLEGIO EIFM. SÃO PAULO. São Paulo. ARTHUR TSUYOSHI NAKAZA NANAUMI ... CENTRO ESCOLAR VALE DO PARAIBA CENTRO EDUCACAO OBJETIVO SÃO PAULO. São José ... | LISTA DE APROVADOS OBB 2018 — SISTEMA DE ENSINO EQUIPE CRISTAL II EIRELI-EPP. 20. BELÉM. ANA FLAVIA F ... INSTITUTO FEDERAL SÃO PAULO CAMPUS MATÃO. 19. MATÃO. FERNANDO SOTERO DE LARA.
52096785;COLEGIO OLIMPO GOIANIA;Goiânia;Mais uma vez, o Galileu está no topo! O resultado do ... — Colégio Olimpo (Goiânia) – 713,28 4. Colégio Arena (Goiânia) – 698 ... Bernoulli Sistema de Ensino INEP Cuidado Tradição Inovação 9º ... | Busca de escolas, municípios e estados — SISTEMA DE ENSINO MILENIO. AVENIDA 24 DE OUTUBRO, 3110 AEROVIARIO. 74435-090 Goiânia - GO. Rede privada / Urbana · SISTEMA DE ENSINO VITORIA ESCOLA OFICINA DE ... | Enem 2025: conheça as 15 escolas com as maiores notas ... — Colegio Olimpo Goiania - Goiânia - Setor Bueno - Nota: 713.33 ... Farina Sistema de Ensino - Cuiabá - Areão - Nota: 668.92. Inst ...
31184331;COLEGIO SAGRADO CORACAO DE MARIA;Ubá;características escola indicadores prouni — ... COLEGIO SAGRADO CORACAO DE MARIA. ES. Vitória. Privada. Urbana. 30. De 1 a 30 ... SISTEMA DE ENSINO. PI. Teresina. Privada. Urbana. 25. De 1 a 30 alunos. 25. | MEDALHA DE OURO — COLEGIO SAGRADO CORACAO DE MARIA. ESPÍRITO SANTO. Vitória. HELENA RUAS ... ZETA SISTEMA DE ENSINO DE BIRIGUI. SÃO PAULO. Birigui. HUANG PO CHIANG. NIPO ... | As 100 escolas com as maiores notas no Enem 2015 — CPI SISTEMA DE ENSINO, PI, Teresina, Privada, 691,41. RECANTO INF ... COLEGIO SAGRADO CORACAO DE MARIA, MG, Ubá, Privada, 690,7. LEONARDO ANGLO ...
31013935;COLEGIO BATISTA MINEIRO - UNIDADE BETIM;Betim;Colégio Batista Mineiro | ➕🟰Matemática além do quadro: ... — Colégio Batista Mineiro - Unidade Betim (Privada) IFMG - Campus ... ✔️ Material didático atualizado (Sistema Fibonacci) ✔️ ... | Colégio Batista Mineiro | 🖥️Jovens prontos para o futuro. Os ... — Colégio Batista Mineiro - Unidade Betim (Privada) IFMG - Campus ... ✔️ Material didático atualizado (Sistema Fibonacci) ✔️ ... | Tradição, afeto e princípios. Escolhi o @colegiobatista.mineiro ... — Colégio Batista Mineiro - Unidade Betim (Privada) IFMG - Campus ... MATERIAL DIDÁTICO COM SISTEMA pitágoras 34 99145-0117 No ...
31007111;COLEGIO SAGRADO CORACAO DE JESUS;Belo Horizonte;Alunos Premiados de Escolas Privadas - 20ª OBMEP 2025 — SISTEMA DE ENSINO FOCO, P, MONTES CLAROS, MG, Sim. MARIA BEATRIZ S. BERGO ... COLEGIO SAGRADO CORACAO DE JESUS, P, BELO HORIZONTE, MG, Sim. PETRUS SCHNEIDER ... | Colégio Sagrado Coração De Jesus | Bolsas de Estudo em ... — Sistema de ensino. FTD Educação. O sistema de ensino compreende o conjunto de ... Lindeia - Belo Horizonte - MG. Bolsas a partir de: R$ 284,90- 30%. Logo ... | BHTRANS - Belo Horizonte — COLEGIO SAGRADO CORACAO DE JESUS · COLEGIO SAGRADO CORACAO DE MARIA · COLEGIO ... SISTEMA DE ENSINO RENASCER · SISTEMA PIAGET DE ENSINO · UMEI BRAUNAS · UMEI ...
35112562;NOTRE DAME DE CAMPINAS COLEGIO;Campinas;Alunos Premiados de Escolas Privadas - 16ª OBMEP — ANGLO SISTEMA DE ENSINO, P, TATUI, SP, ---, Sim. IAN MAZZUCATTO PUCINELI ... NOTRE DAME DE CAMPINAS COLEGIO, P, CAMPINAS, SP, ---, Sim. JOÃO VICENTE ALMEIDA ... | Ensino — ... SISTEMA DE ENSINO. 35159013 SP. Rio Claro. ANA CLARA ALVES DE OLIVEIRA. 3º ... NOTRE DAME DE CAMPINAS COLEGIO. 35112562 SP. Campinas. ANA DEISE DA SILVA SOUSA. | características escola indicadores prouni — ... SISTEMA DE ENSINO. PI. Teresina. Privada. Urbana. 25. De 1 a 30 alunos. 25. 100.00 ... NOTRE DAME DE CAMPINAS COLEGIO. SP. Campinas. Privada. Urbana. 78. De 61 a.
43107419;COLEGIO MAE DE DEUS;Porto Alegre;Colégio Mãe de Deus - Rede ICM (@colegio_maededeus) — Colégio Mãe de Deus – Zona Sul de Porto Alegre ... | Colégio Mãe de Deus - Rede ICM | Você sabia que a ... — ... Colégio Mãe de Deus é referência em Porto Alegre? Desde os primeiros passos nossos ... Sistema de Ensino Colégio Mãe de Deus REDE ICM DE EDUCAÇÃO ... | Encontro do Sistema de Ensino Poliedro — ... Sistema de Ensino Poliedro. Durante esse evento, foram abordados ... Colégio Mãe de Deus – Porto Alegre – RS · Colégio Nª Senhora da Glória – Porto ...
31371742;COLEGIO M2 - VESPASIANO;Vespasiano;Colégio M2 Vespasiano — Colégio M2 Vespasiano. Material didático. Selecione abaixo a série desejada para acessar a lista de materiais didáticos. Conheça Nosso corpo Profissional ... | Maratona de Matemática da Conquista já é tradição no ... — Colégio M2 - Vespasiano. | Colégio M2 — Photo by Colégio M2 - Vespasiano on June 10, 2026. May be a cartoon ... Bernoulli Sistema de Ensino O Fim do 'Cálculo por Cálculo ...
22144919;COLEGIO GREAT;Teresina;Colégio Propósito | 20 alunos do Colégio Propósito foram ... — ... Teresina 752,1 188 2º Colégio Propósito Dif Teresina 625,3 115 3º ... Colégio Great (10º). Os microdados do Enem, que reúnem ... | O Colégio Propósito é Top 2 no ENEM entre as escolas de ... — ... Teresina/PI | 752,1 | 188 2 Colégio Propósito Dif | Teresina/PI ... Poliedro Sistema de Ensino. 1º lugar em Timon e entre as 15 ... | Aluno do colégio propósito. — A gente percebeu melhorias na estrutura, melhorias os, uh, sistema de ensino ... TERESINA TERESINA - PI CURTA, COMENTE E COMPARTILHE!
35114832;PEQUENO PRINCIPE COLEGIO;Ribeirão Preto;"CIE ESCOLA MUNICÍPIO — CAPELLA KIDS SISTEMA DE ENSINO EIRELI- ME. RIBEIRAO PRETO. 262985. CARLA ... COC RIBEIRÃO PRETO - REDE ÚNICA DE EDUCAÇÃO UNIDADE. 02. RIBEIRAO PRETO. 7840. | Colégio Pequeno Príncipe on Instagram: ""Entrando na trend ... — em Ribeirão Preto a melhor escola que tem... é o Pequeno Príncipe ... CULTURA INGLESA SISTEMA DE ENSINO anglo escola da inteligência PEQUENO ... | Colégio Pequeno Príncipe, situado no bairro Paredões — Colégio Pequeno Príncipe Colégio Pequeno Príncipe E with a diagonal slash ..."
32041411;CENTRO DE ENSINO CHARLES DARWIN;Vitória;Centro de Ensino Charles Darwin — ... Sistema de Ensino. LEIA MAIS. INCENTIVO A PRÁTICA DE ESPORTES! O Darwin ... Centro de Ensino Charles Darwin. Todos os direitos reservados. Darwin Vitória. | As turmas dos 1ºs anos vivenciaram uma proposta literária ... — Darwin Porto Alegre Integral BH Monitoria Darwin Bernoulli Sistema de Ensino ... Vitória e Vila Velha se transformaram em verdadeiros laboratórios ... | Modelo de Ofício — Revisão da proposta de Resolução para normatizar no âmbito do Sistema de Ensino do ... INTERESSADO: Centro de Ensino Charles Darwin – Vitória. ASSUNTO: ...
29200091;SARTRE ESCOLA SEB - ITAIGARA;Salvador;"1º lugar na região. 29ª melhor escola da Bahia. ... — 9 - Sartre Escola Seb – Itaigara – Salvador – Itaigara – Nota: 686,82 ... COLÉGIO CESP 30 ANOS 1º LUGAR ENEM 2025 Sistema de Ensino pH O melhor da ... | ""44 anos levando alunos do primeiro rabisco ao sucesso no ... — 9 - Sartre Escola Seb – Itaigara – Salvador – Itaigara – Nota: 686,82 ... É o reflexo da união entre um sistema de ensino de excelência ... | Colégio e Curso Brasil – 37 anos de dedicação à educação! 📚 ... — CONEXÃO SISTEMA DE ENSINO MATRÍCULAS ABERTAS 2º SEMESTRE ENSINO ... Sartre Escola Seb – Itaigara – Salvador – Itaigara – Nota: 686,82"
32040075;COLEGIO SAGRADO CORACAO DE MARIA;Vitória;"Vitória on Instagram: ""O Colégio Sagrado Coração de Maria ... — ... Colégio Sagrado Coração de Maria de Vitória. Acesse matriculasagrado ... SISTEMA DE ENSINO SAE DIGITAL Cambridge Assessment English pes ... | Parabéns, Isabela! 🌟 No Colégio Sagrado Coração de ... — Essa vitória também reforça a qualidade do Sistema de Ensino ... A equipe do Colégio Sagrado Coração de Maria de Vitória está muito ... | Seja bem-vindo(a) à Rede Sagrado! Em Vitória há 81 anos, o ... — O Colégio Sagrado Coração de Maria de Vitória conquistou, por dois ... material didático, a possibilidade de horário e os horários de ..."
31041262;COLEGIO ROBERTO CARNEIRO;Divinópolis;"Colégio Roberto Carneiro on Instagram: ""No Colégio Roberto ... — ... material didático completo e atualizado, além de uma metodologia focada em resultados. ... O Sistema de Ensino Bernoulli, parceiro do Évore ... | O Grupo Roberto Carneiro de Educação está expandindo ... — Maternus Divinópolis Colégio Roberto Carneiro Literatura Infantil: O ... COLÉGIO ROBERTO CARNEIRO #souRobertoCarneiro Bernoulli Sistema de Ensino ... | Colégio Roberto Carneiro on Instagram: ""Aproveitamos esse ... — COLÉGIO ROBERTO CARNEIRO #souRobertoCarneiro Bernoulli Sistema de Ensino ... Colégio Roberto Carneiro there in Divinópolis. This is Márden de ..."
33104247;INSTITUTO NOSSA SENHORA DA PIEDADE II;Rio de Janeiro;Alunos Premiados de Escolas Privadas — INSTITUTO NOSSA SENHORA DA PIEDADE II, P, RIO DE JANEIRO, RJ, Bronze. LORENZO DE ... SISTEMA DE ENSINO UNO VERTICE, P, DIVINOPOLIS, MG, Bronze. HEITOR SOARES DE ... | Rio de Janeiro 4912 escolas — ... SISTEMA DE ENSINO LTDA. RUA MAURICIO DA COSTA FARIA, 762. RECREIO DOS ... INSTITUTO NOSSA SENHORA DA PIEDADE II. PAU-FERRO, 945. PECHINCHA. 22743050 Rio ... | ENEM 2014 — SISTEMA DE ENSINO UNIVERSUS LTDA, RIO DE JANEIRO, RJ, Privada, De 40% a 60%, Alto, 520.69, 541.89, 493.57, 498.92, 548.38, 497.60. 638, 6016, CE ...
22014543;COLEGIO NOSSA SENHORA DAS GRACAS;Parnaíba;Grupo de Estudos do Pré-Vest. A semana de provas também ... — ... Colegio Nossa Senhora Das Gracas . Acess MÉDIA GERAL ALUNOS VA AN ... A equipe de gestores da Via Sapiens - Polo Parnaíba visitou hoje ... | PREMIAÇÃO QUIMENINAS 2025- SÉRIE 9° ANO — SISTEMA DE ENSINO AUTHENTICO. PA. Belém. OURO. Echilly Gonçalves Marques ... COLEGIO NOSSA SENHORA DAS GRACAS. PI. Parnaíba ouro. LUANA MORAIS BARROS. MASTER ... | Medalhistas de Ouro por Escola | PDF | São Paulo — Vinicius José Aragão de Almeida Barrozo COLEGIO NOSSA SENHORA DAS GRACAS PIAUÍ Parnaíba ... LUCA DE FREITAS GARCIA SEI - SISTEMA DE ENSINO INTERATIVO RIO DE ...
33116903;CENTRO EDUCACIONAL DA LAGOA;Rio de Janeiro;"2024 INFORMATIVO — O Centro Educacional da Lagoa - CEL tem uma equipe de gestores e de ... Estado do Rio de Janeiro. A renovação da matrícula só é efetivada, não havendo ... | Escolas particulares no Rio com mensalidade entre R$ ... — Centro Educacional da Lagoa (CEL - Barra da Tijuca); Centro ... sistema de ensino. Há ainda o detalhamento sobre quais atividades ... | falta de acesso a plataforma digital SAS por exigência ... — Como o material didático ... Seja cessada a prática abusiva de vinculação do acesso ao sistema de ensino à compra exclusiva de livros na escola. ... CEL Centro ..."
22142363;COLEGIO PROPOSITO;Teresina;Colégio Propósito | Escola Particular em Teresina, PI — Estrutura e Material Didático. Ambiente de aprendizado faz a diferença. O Colégio Propósito possui uma estrutura moderna, com salas projetadas para ... | Colégio Propósito | No Colégio Propósito, acreditamos que a ... — COOPERELP SISTEMA DE ENSINO anglo ORGULHO EM SER A ESCOLA COOPERATIVA DE LENÇÓIS PAULISTA ... Material didático de alta qualidade. ‍ Equipe ... | O Colégio Propósito é Top 2 no ENEM entre as escolas de ... — ... Teresina/PI | 752,1 | 188 2 Colégio Propósito Dif | Teresina/PI ... Poliedro Sistema de Ensino. 1º lugar em Timon e entre as 15 ...
52034054;COLEGIO PROGRESSIVO;Goiânia;MAIS DO QUE FAMA TEMOS FOCO: — O Colégio Progressivo ... Utilizamos o material didático da Plataforma SAS – Sistema ... Você vai perceber que somos o melhor custo-benefício da educação privada em ... | Há experiências profissionais que entram no currículo. ... — ... material didático, e a escolha pela ELI Éditions reflete uma visão ... Goiânia, por investir em uma escola pública com padrão de ... | Vamos conhecer a quinta escola? Escola Ipê ✨ o que vocês ... — ... sistema de ensino de Goiânia. som original - Idimar Leal Pontes. 47 ... Colégio Progressivo Goiânia · โรงเรียนไทยนิยม. 860Curtidas. 63 ...
35113852;LUIZ DE QUEIROZ COLEGIO;Piracicaba;Alunos Premiados de Escolas Privadas — ANGLO SISTEMA DE ENSINO, P, TATUI, SP, Sim. BENICIO ROSA CAMEJO, PITANGUEIRAS ... LUIZ DE QUEIROZ COLEGIO, P, PIRACICABA, SP, Sim. ENZO GARCIA MENDES, CLARETIANO ... | Ensino — ... Piracicaba. Adriana Rodrigues de Araújo. 3º ano - Ensino Médio. 21. 18 ESCOLA ... SISTEMA DE ENSINO. 35159013 SP. Rio Claro. ANA CLARA ALVES DE OLIVEIRA. 3º ... | Listado de Colegios en Brasil | PDF — LUIZ DE QUEIROZ COLEGIO. SP. 429. FUNDAMENTUM COLEGIO. SP. 430. CENTRO ... SISTEMA DE ENSINO FUNDAMENATAL MEDIO E SUPERIOR LTDA-CDF-SUL. PB. 7312. SUELI ...
31005789;COLEGIO SAO PAULO DA CRUZ;Belo Horizonte;Alunos Premiados de Escolas Privadas - 20ª OBMEP 2025 — COLEGIO SAO PAULO DA CRUZ, P, BELO HORIZONTE, MG, Sim. PAULO CARVALHO AZEVEDO ... BELO HORIZONTE, MG, Sim. MIGUEL ALMEIDA HONORATO MOURA, COLEGIO FUCAMP, P, MONTE ... | BHTRANS - Belo Horizonte — SISTEMA DE ENSINO RENASCER · SISTEMA PIAGET DE ENSINO · UMEI BRAUNAS · UMEI DELFIM ... EMPRESA DE TRANSPORTES E TRÂNSITO DE BELO HORIZONTE S/A - BHTRANS Av ... | Classificados NIVEL D — SISTEMA DE ENSINO EQUIPE CRISTAL. 8. BELEM. PA. ADLER ALISON LEAL SOSTER. 3 ... COLEGIO SAO PAULO DA CRUZ. 13. BELO HORIZONTE. MG. ANA LUIZA BONFIM FERREIRA. 3 ...
